0,date,time,open,high,low,close,volume,state
1,2021.01.04,00:00,140.685,141.061,140.664,140.94,737,1
2,2021.01.04,01:00,140.958,141.315,140.954,141.245,5585,1
3,2021.01.04,02:00,141.251,141.278,140.78,140.913,11294,-1
4,2021.01.04,03:00,140.911,141.1,140.902,141.002,8756,1
5,2021.01.04,04:00,141.001,141.085,140.958,141.006,6664,1
6,2021.01.04,05:00,141.006,141.046,140.965,140.99,4088,-1
7,2021.01.04,06:00,140.991,141.045,140.889,140.904,3921,-1
8,2021.01.04,07:00,140.911,140.963,140.852,140.944,5315,1
9,2021.01.04,08:00,140.947,141.014,140.874,140.941,5778,-1
10,2021.01.04,09:00,140.944,141.066,140.753,140.86,9114,-1
11,2021.01.04,10:00,140.862,140.924,140.581,140.744,12404,-1
12,2021.01.04,11:00,140.745,140.788,140.417,140.479,11321,-1
13,2021.01.04,12:00,140.477,140.782,140.465,140.763,9456,1
14,2021.01.04,13:00,140.761,140.863,140.569,140.601,9987,-1
15,2021.01.04,14:00,140.601,140.624,140.416,140.513,11130,-1
16,2021.01.04,15:00,140.512,140.589,140.204,140.383,12947,-1
17,2021.01.04,16:00,140.386,140.44,140.191,140.234,14110,-1
18,2021.01.04,17:00,140.233,140.233,139.919,140.021,16126,-1
19,2021.01.04,18:00,140.019,140.184,139.801,139.817,13777,-1
20,2021.01.04,19:00,139.816,140.008,139.69,139.962,10920,1
21,2021.01.04,20:00,139.961,139.975,139.793,139.879,7822,-1
22,2021.01.04,21:00,139.878,139.925,139.8,139.881,7578,1
23,2021.01.04,22:00,139.881,139.952,139.768,139.947,7225,1
24,2021.01.04,23:00,139.947,140.075,139.842,139.868,4768,-1
25,2021.01.05,00:00,139.868,139.977,139.85,139.97,652,1
26,2021.01.05,01:00,139.967,140.033,139.886,139.959,4161,-1
27,2021.01.05,02:00,139.958,140.022,139.897,139.941,6335,-1
28,2021.01.05,03:00,139.941,140.034,139.902,139.935,7143,-1
29,2021.01.05,04:00,139.936,140.128,139.929,140.093,5795,1
30,2021.01.05,05:00,140.092,140.15,139.937,139.974,6713,-1
31,2021.01.05,06:00,139.973,140.011,139.891,139.932,6786,-1
32,2021.01.05,07:00,139.932,140.02,139.929,139.993,6505,1
33,2021.01.05,08:00,139.993,140.063,139.897,140.04,6018,1
34,2021.01.05,09:00,140.041,140.054,139.626,139.693,10162,-1
35,2021.01.05,10:00,139.7,139.894,139.525,139.534,12875,-1
36,2021.01.05,11:00,139.53,139.745,139.512,139.574,9631,1
37,2021.01.05,12:00,139.574,139.81,139.566,139.759,8954,1
38,2021.01.05,13:00,139.759,139.908,139.728,139.728,10102,-1
39,2021.01.05,14:00,139.73,139.794,139.635,139.773,10825,1
40,2021.01.05,15:00,139.773,139.831,139.536,139.626,11573,-1
41,2021.01.05,16:00,139.626,139.867,139.599,139.817,12656,1
42,2021.01.05,17:00,139.82,139.974,139.641,139.722,14674,-1
43,2021.01.05,18:00,139.723,139.958,139.719,139.857,12197,1
44,2021.01.05,19:00,139.857,140.008,139.857,139.943,9618,1
45,2021.01.05,20:00,139.944,139.949,139.768,139.888,7155,-1
46,2021.01.05,21:00,139.888,139.966,139.851,139.879,5859,-1
47,2021.01.05,22:00,139.882,139.966,139.876,139.934,5327,1
48,2021.01.05,23:00,139.933,139.989,139.91,139.911,3117,-1
49,2021.01.06,00:00,139.908,139.956,139.74,139.897,966,-1
50,2021.01.06,01:00,139.904,139.948,139.829,139.924,3646,1
51,2021.01.06,02:00,139.925,140.03,139.84,139.986,8816,1
52,2021.01.06,03:00,139.987,140.014,139.813,139.836,13419,-1
53,2021.01.06,04:00,139.835,139.91,139.789,139.802,9953,-1
