0,date,time,open,high,low,close,volume,state
1,2019.01.02,00:00,1.1463,1.1463,1.14598,1.14606,110,-1
2,2019.01.02,00:15,1.14602,1.1463,1.14598,1.14603,242,1
3,2019.01.02,00:30,1.14603,1.14631,1.14598,1.14629,277,1
4,2019.01.02,00:45,1.1463,1.14644,1.14597,1.14622,541,-1
5,2019.01.02,01:00,1.14603,1.14671,1.14558,1.14655,981,1
6,2019.01.02,01:15,1.14657,1.14678,1.1465,1.14665,806,1
7,2019.01.02,01:30,1.14666,1.1467,1.14647,1.14651,392,-1
8,2019.01.02,01:45,1.1465,1.14651,1.14611,1.14611,319,-1
9,2019.01.02,02:00,1.14612,1.14626,1.14574,1.14623,662,1
10,2019.01.02,02:15,1.14624,1.14625,1.14574,1.14579,436,-1
11,2019.01.02,02:30,1.14579,1.14588,1.14544,1.14559,580,-1
12,2019.01.02,02:45,1.14559,1.14564,1.14554,1.14561,337,1
13,2019.01.02,03:00,1.14561,1.14562,1.14502,1.14512,730,-1
14,2019.01.02,03:15,1.14513,1.14549,1.14513,1.14523,380,1
15,2019.01.02,03:30,1.14523,1.14537,1.14515,1.14536,655,1
16,2019.01.02,03:45,1.14535,1.14535,1.14458,1.14522,974,-1
17,2019.01.02,04:00,1.14522,1.14534,1.14505,1.14533,722,1
18,2019.01.02,04:15,1.14531,1.14533,1.1447,1.14485,970,-1
19,2019.01.02,04:30,1.14486,1.14506,1.14444,1.14449,747,-1
20,2019.01.02,04:45,1.14448,1.14457,1.14427,1.14457,485,1
21,2019.01.02,05:00,1.14457,1.14462,1.14447,1.14453,397,-1
22,2019.01.02,05:15,1.14452,1.1448,1.14452,1.14476,357,1
23,2019.01.02,05:30,1.14474,1.14488,1.14459,1.14465,325,-1
24,2019.01.02,05:45,1.14465,1.14474,1.14446,1.14457,366,-1
25,2019.01.02,06:00,1.14459,1.14462,1.14438,1.14444,431,-1
26,2019.01.02,06:15,1.14445,1.14465,1.14438,1.14445,418,0
27,2019.01.02,06:30,1.14445,1.1447,1.14428,1.14461,472,1
28,2019.01.02,06:45,1.1446,1.1446,1.14444,1.14451,285,-1
29,2019.01.02,07:00,1.14451,1.14484,1.14451,1.1448,393,1
30,2019.01.02,07:15,1.1448,1.14582,1.14475,1.14578,754,1
31,2019.01.02,07:30,1.14579,1.14698,1.14575,1.14695,900,1
32,2019.01.02,07:45,1.14697,1.14789,1.14683,1.14779,989,1
33,2019.01.02,08:00,1.1478,1.14967,1.1477,1.14894,1587,1
34,2019.01.02,08:15,1.14895,1.14967,1.14892,1.14941,1010,1
35,2019.01.02,08:30,1.1494,1.14943,1.14876,1.14907,743,-1
36,2019.01.02,08:45,1.14909,1.14933,1.14822,1.14852,952,-1
37,2019.01.02,09:00,1.14851,1.14931,1.14826,1.14875,1170,1
38,2019.01.02,09:15,1.14875,1.14896,1.1482,1.14833,1400,-1
39,2019.01.02,09:30,1.14833,1.14849,1.14784,1.14796,1341,-1
40,2019.01.02,09:45,1.14797,1.14818,1.14734,1.14734,1267,-1
41,2019.01.02,10:00,1.14735,1.1478,1.14605,1.1462,1960,-1
42,2019.01.02,10:15,1.14619,1.14622,1.14495,1.14533,2236,-1
43,2019.01.02,10:30,1.14532,1.14532,1.14288,1.14414,2949,-1
44,2019.01.02,10:45,1.14411,1.14484,1.14378,1.14479,1900,1
45,2019.01.02,11:00,1.14479,1.14498,1.14382,1.14441,2114,-1
46,2019.01.02,11:15,1.14438,1.14463,1.14357,1.14373,1649,-1
47,2019.01.02,11:30,1.1437,1.14419,1.14223,1.14274,1993,-1
48,2019.01.02,11:45,1.14272,1.14346,1.14249,1.14341,1514,1
49,2019.01.02,12:00,1.1434,1.14379,1.1432,1.14358,1667,1
50,2019.01.02,12:15,1.14358,1.1438,1.1433,1.14374,1155,1
