0,date,time,open,high,low,close,volume,state
1,2021.01.04,00:00,1.22388,1.23097,1.22274,1.22475,120971,1
2,2021.01.05,00:00,1.22475,1.23056,1.22432,1.22938,111455,1
3,2021.01.06,00:00,1.23006,1.23493,1.22656,1.2325,153672,1
4,2021.01.07,00:00,1.23249,1.23442,1.2245,1.2271,114528,-1
5,2021.01.08,00:00,1.2271,1.22844,1.2193,1.22194,130338,-1
6,2021.01.11,00:00,1.22156,1.22212,1.21323,1.21511,110016,-1
7,2021.01.12,00:00,1.21512,1.22097,1.21372,1.22054,99247,1
8,2021.01.13,00:00,1.22059,1.22228,1.21399,1.2157,100064,-1
9,2021.01.14,00:00,1.21568,1.21785,1.21111,1.21521,108563,-1
10,2021.01.15,00:00,1.21521,1.21626,1.20749,1.20753,94494,-1
11,2021.01.18,00:00,1.20819,1.20866,1.20535,1.20743,73735,-1
12,2021.01.19,00:00,1.20743,1.21449,1.20739,1.21276,83863,1
13,2021.01.20,00:00,1.21282,1.21581,1.20767,1.21047,93394,-1
14,2021.01.21,00:00,1.21048,1.21731,1.2103,1.21596,97557,1
15,2021.01.22,00:00,1.21623,1.21895,1.21515,1.2171,85804,1
16,2021.01.25,00:00,1.21658,1.21832,1.2116,1.21389,92412,-1
17,2021.01.26,00:00,1.21382,1.21759,1.21079,1.21599,91655,1
18,2021.01.27,00:00,1.21595,1.21698,1.20587,1.21089,121059,-1
19,2021.01.28,00:00,1.21088,1.21423,1.20807,1.2119,127409,1
20,2021.01.29,00:00,1.21184,1.2156,1.20943,1.21378,129939,1
21,2021.02.01,00:00,1.21279,1.21364,1.2056,1.20589,108879,-1
22,2021.02.02,00:00,1.20587,1.20876,1.20115,1.20431,98187,-1
23,2021.02.03,00:00,1.20426,1.205,1.20041,1.20356,82639,-1
24,2021.02.04,00:00,1.20357,1.20427,1.19575,1.19619,86450,-1
25,2021.02.05,00:00,1.19626,1.20498,1.19521,1.20482,86100,1
26,2021.02.08,00:00,1.20371,1.20658,1.20197,1.20428,73488,1
27,2021.02.09,00:00,1.2048,1.21217,1.2047,1.21165,83031,1
28,2021.02.10,00:00,1.21161,1.21439,1.21087,1.21175,80371,1
29,2021.02.11,00:00,1.21175,1.21493,1.21134,1.21281,62203,1
30,2021.02.12,00:00,1.21263,1.21341,1.20814,1.21181,69801,-1
31,2021.02.15,00:00,1.21243,1.21451,1.21167,1.21272,55881,1
32,2021.02.16,00:00,1.21273,1.21694,1.2095,1.21035,95003,-1
33,2021.02.17,00:00,1.21014,1.21073,1.20233,1.20377,97552,-1
34,2021.02.18,00:00,1.20343,1.20946,1.20343,1.20892,90037,1
35,2021.02.19,00:00,1.20891,1.21445,1.20823,1.21171,81824,1
36,2021.02.22,00:00,1.21121,1.21692,1.20912,1.21558,101820,1
37,2021.02.23,00:00,1.21521,1.218,1.21352,1.21492,98013,-1
38,2021.02.24,00:00,1.21492,1.21745,1.21091,1.21627,122246,1
