0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
1,2019.01.02,00:00,1.1463,1.14967,1.1325,1.13419,109725,0,1,0,0,0,0,,5.0,5.0,0,0
2,2019.01.03,00:00,1.13419,1.14109,1.13078,1.13921,133230,1,0,0,0,0,0,2.0,5.0,4.0,1,0
3,2019.01.04,00:00,1.13921,1.14191,1.13458,1.13966,110828,1,0,0,0,0,0,-1.0,4.0,2.0,0,0
4,2019.01.07,00:00,1.13948,1.14826,1.13946,1.14742,83857,1,0,0,0,0,0,-2.0,5.0,5.0,0,0
5,2019.01.08,00:00,1.14741,1.14846,1.14219,1.14409,89276,0,1,0,0,0,0,0.0,5.0,4.0,0,1
6,2019.01.09,00:00,1.1441,1.15578,1.14368,1.15423,113841,1,0,0,0,0,0,2.0,5.0,5.0,1,0
7,2019.01.10,00:00,1.15423,1.15698,1.14844,1.14997,108375,0,1,0,0,0,0,,4.0,5.0,0,1
8,2019.01.11,00:00,1.14998,1.15403,1.14507,1.14681,179915,0,1,0,0,0,0,4.0,3.0,5.0,0,0
9,2019.01.15,00:00,1.1468,1.14896,1.13818,1.14125,107588,0,1,0,0,0,0,-3.0,4.0,4.0,0,0
10,2019.01.16,00:00,1.14121,1.14247,1.13778,1.13912,87174,0,1,0,0,0,0,-1.0,4.0,4.0,0,0
11,2019.01.17,00:00,1.13912,1.14059,1.13699,1.13873,91807,0,1,0,0,0,0,0.0,3.0,3.0,0,0
12,2019.01.18,00:00,1.13872,1.14102,1.13532,1.13607,83460,0,1,0,0,0,0,,3.0,5.0,0,0
13,2019.01.21,00:00,1.13604,1.13913,1.13568,1.13659,57321,1,0,0,0,0,0,-2.0,2.0,5.0,1,0
14,2019.01.22,00:00,1.13666,1.1374,1.13361,1.13589,77807,0,1,0,0,0,0,2.0,5.0,2.0,0,1
15,2019.01.23,00:00,1.13588,1.13944,1.13508,1.13805,81446,1,0,0,0,0,0,0.0,4.0,5.0,1,0
16,2019.01.24,00:00,1.13804,1.13914,1.12893,1.13039,112754,0,1,0,0,0,0,2.0,5.0,5.0,0,1
17,2019.01.25,00:00,1.13027,1.14176,1.12998,1.14051,105608,1,0,0,0,0,0,,5.0,5.0,1,0
18,2019.01.28,00:00,1.14,1.14436,1.139,1.14269,81410,1,0,0,0,0,0,-2.0,4.0,5.0,0,0
19,2019.01.29,00:00,1.14271,1.14501,1.14112,1.14321,99176,1,0,0,0,0,0,2.0,3.0,3.0,0,0
20,2019.01.30,00:00,1.1432,1.15016,1.14061,1.14787,104138,1,0,0,0,0,0,0.0,4.0,4.0,0,0
21,2019.01.31,00:00,1.14788,1.15141,1.14356,1.1446,103584,0,1,0,0,0,0,,3.0,5.0,0,1
22,2019.02.01,00:00,1.14457,1.14885,1.14342,1.1453,89492,1,0,0,0,0,0,-1.0,2.0,4.0,1,0
23,2019.02.04,00:00,1.14507,1.14603,1.14244,1.14346,75718,0,1,0,0,0,0,-1.0,4.0,4.0,0,1
24,2019.02.05,00:00,1.14348,1.14405,1.14012,1.14049,72135,0,1,0,0,0,0,,5.0,5.0,0,0
25,2019.02.06,00:00,1.14019,1.14095,1.13608,1.13616,73071,0,1,0,0,0,0,0.0,5.0,5.0,0,0
26,2019.02.07,00:00,1.13616,1.13684,1.13245,1.13382,78695,0,1,0,0,0,0,0.0,5.0,4.0,0,0
27,2019.02.08,00:00,1.13382,1.13508,1.13211,1.13222,65074,0,1,0,0,0,0,-1.0,3.0,5.0,0,0
28,2019.02.11,00:00,1.13187,1.13298,1.12672,1.12753,70915,0,1,0,0,0,0,0.0,5.0,5.0,0,0
29,2019.02.12,00:00,1.12752,1.13397,1.12576,1.13248,71449,1,0,0,0,0,0,0.0,5.0,4.0,1,0
30,2019.02.13,00:00,1.13249,1.13414,1.12586,1.12586,76528,0,1,0,0,0,0,0.0,5.0,5.0,0,1
