0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2019.01.02,00:00,1.1463,1.14644,1.14597,1.14622,1170,0,1,0,0,0,0
2,2019.01.02,01:00,1.14603,1.14678,1.14558,1.14611,2498,1,0,0,0,0,0
3,2019.01.02,02:00,1.14612,1.14626,1.14544,1.14561,2015,0,1,0,1,0,0
4,2019.01.02,03:00,1.14561,1.14562,1.14458,1.14522,2739,0,1,0,1,0,0
5,2019.01.02,04:00,1.14522,1.14534,1.14427,1.14457,2924,0,1,0,1,0,0
6,2019.01.02,05:00,1.14457,1.14488,1.14446,1.14457,1445,0,0,1,1,0,0
7,2019.01.02,06:00,1.14459,1.1447,1.14428,1.14451,1606,0,1,0,1,0,0
8,2019.01.02,07:00,1.14451,1.14789,1.14451,1.14779,3036,1,0,0,1,0,0
9,2019.01.02,08:00,1.1478,1.14967,1.1477,1.14852,4292,1,0,0,1,0,0
10,2019.01.02,09:00,1.14851,1.14931,1.14734,1.14734,5178,0,1,0,1,0,0
11,2019.01.02,10:00,1.14735,1.1478,1.14288,1.14479,9045,0,1,0,1,1,0
12,2019.01.02,11:00,1.14479,1.14498,1.14223,1.14341,7270,0,1,0,0,1,0
13,2019.01.02,12:00,1.1434,1.14419,1.1432,1.14369,5230,1,0,0,0,1,0
14,2019.01.02,13:00,1.14369,1.14391,1.14247,1.1434,4557,0,1,0,0,1,0
15,2019.01.02,14:00,1.14341,1.14341,1.13978,1.14049,5413,0,1,0,0,1,0
16,2019.01.02,15:00,1.14051,1.14056,1.13675,1.13717,8444,0,1,0,0,1,1
17,2019.01.02,16:00,1.13717,1.13754,1.13582,1.13611,7967,0,1,0,0,1,1
18,2019.01.02,17:00,1.13613,1.13697,1.1342,1.13539,9503,0,1,0,0,1,1
19,2019.01.02,18:00,1.13543,1.13622,1.13488,1.13564,5973,1,0,0,0,1,1
20,2019.01.02,19:00,1.13564,1.13569,1.13314,1.13352,6014,0,1,0,0,0,1
21,2019.01.02,20:00,1.13353,1.13362,1.13264,1.13279,4059,0,1,0,0,0,1
22,2019.01.02,21:00,1.13278,1.13442,1.1325,1.1344,3547,1,0,0,0,0,1
23,2019.01.02,22:00,1.13441,1.13476,1.13404,1.13457,3870,1,0,0,0,0,1
24,2019.01.02,23:00,1.13455,1.13479,1.13402,1.13419,1930,0,1,0,0,0,0
25,2019.01.03,00:00,1.13419,1.13543,1.13078,1.13395,2632,0,1,0,0,0,0
26,2019.01.03,01:00,1.1333,1.135,1.1309,1.13122,4875,0,1,0,0,0,0
27,2019.01.03,02:00,1.13121,1.13467,1.13099,1.13398,4555,1,0,0,1,0,0
28,2019.01.03,03:00,1.13398,1.13527,1.13397,1.13485,4351,1,0,0,1,0,0
29,2019.01.03,04:00,1.13484,1.13615,1.13461,1.13583,3820,1,0,0,1,0,0
30,2019.01.03,05:00,1.13582,1.13715,1.13569,1.13647,3251,1,0,0,1,0,0
31,2019.01.03,06:00,1.13645,1.13679,1.13604,1.13673,1726,1,0,0,1,0,0
32,2019.01.03,07:00,1.13673,1.13698,1.1357,1.1361,3565,0,1,0,1,0,0
