0,date,time,open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2019.01.02,00:00,1.1463,1.14678,1.14458,1.14522,8422,0,1,0,0,0,0
2,2019.01.02,04:00,1.14522,1.14789,1.14427,1.14779,9011,1,0,0,1,0,0
3,2019.01.02,08:00,1.1478,1.14967,1.14223,1.14341,25785,0,1,0,1,0,0
4,2019.01.02,12:00,1.1434,1.14419,1.13675,1.13717,23644,0,1,0,0,1,0
5,2019.01.02,16:00,1.13717,1.13754,1.13314,1.13352,29457,0,1,0,0,1,1
6,2019.01.02,20:00,1.13353,1.13479,1.1325,1.13419,13406,1,0,0,0,0,1
7,2019.01.03,00:00,1.13419,1.13543,1.13078,1.13485,16413,1,0,0,0,0,0
8,2019.01.03,04:00,1.13484,1.13715,1.13461,1.1361,12362,1,0,0,1,0,0
9,2019.01.03,08:00,1.13609,1.13841,1.13539,1.13758,26011,1,0,0,1,0,0
10,2019.01.03,12:00,1.13757,1.13795,1.13376,1.13654,23655,0,1,0,0,1,0
11,2019.01.03,16:00,1.13653,1.14109,1.13614,1.13987,38698,1,0,0,0,1,1
12,2019.01.03,20:00,1.13984,1.14067,1.1383,1.13921,16091,0,1,0,0,0,1
13,2019.01.04,00:00,1.13921,1.14116,1.13848,1.14041,11394,1,0,0,0,0,0
14,2019.01.04,04:00,1.14042,1.14077,1.13881,1.139,9064,0,1,0,1,0,0
15,2019.01.04,08:00,1.139,1.14191,1.13833,1.14026,17948,1,0,0,1,0,0
16,2019.01.04,12:00,1.14026,1.14157,1.13638,1.1371,21985,0,1,0,0,1,0
17,2019.01.04,16:00,1.13707,1.14178,1.13458,1.14054,37063,1,0,0,0,1,1
18,2019.01.04,20:00,1.14051,1.14107,1.1394,1.13966,13374,0,1,0,0,0,1
19,2019.01.07,00:00,1.13948,1.1423,1.13946,1.14213,8542,1,0,0,0,0,0
20,2019.01.07,04:00,1.14213,1.143,1.14164,1.14234,7999,1,0,0,1,0,0
21,2019.01.07,08:00,1.14233,1.14478,1.14101,1.14412,17494,1,0,0,1,0,0
22,2019.01.07,12:00,1.14414,1.14591,1.14333,1.14576,15843,1,0,0,0,1,0
23,2019.01.07,16:00,1.14575,1.14727,1.14539,1.14678,23478,1,0,0,0,1,1
24,2019.01.07,20:00,1.14679,1.14826,1.14677,1.14742,10501,1,0,0,0,0,1
25,2019.01.08,00:00,1.14741,1.14846,1.14471,1.14483,9084,0,1,0,0,0,0
26,2019.01.08,04:00,1.14482,1.14533,1.14321,1.14439,9400,0,1,0,1,0,0
