0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
1,2020.01.02,00:00,1.12117,1.12128,1.12087,1.12103,178,0,1,0,0,0,0,,4.0,4.0,0,0
2,2020.01.02,00:15,1.12103,1.12148,1.12103,1.12142,314,1,0,0,0,0,0,4.0,5.0,5.0,1,0
3,2020.01.02,00:30,1.12142,1.12154,1.1214,1.1215,369,1,0,0,0,0,0,1.0,4.0,5.0,0,0
4,2020.01.02,00:45,1.12153,1.12159,1.12146,1.12146,262,0,1,0,0,0,0,-2.0,3.0,5.0,0,1
5,2020.01.02,01:00,1.12146,1.1222,1.12146,1.12202,682,1,0,0,0,0,0,5.0,4.0,5.0,1,0
6,2020.01.02,01:15,1.12202,1.12217,1.12197,1.12209,227,1,0,0,0,0,0,-4.0,4.0,4.0,0,0
7,2020.01.02,01:45,1.12209,1.12209,1.12178,1.12189,300,0,1,0,0,0,0,2.0,5.0,4.0,0,1
8,2020.01.02,02:00,1.1219,1.12192,1.12162,1.12163,331,0,1,0,1,0,0,1.0,5.0,5.0,0,0
9,2020.01.02,02:15,1.12163,1.1217,1.12157,1.12161,279,0,1,0,1,0,0,-1.0,3.0,4.0,0,0
10,2020.01.02,02:30,1.12162,1.12174,1.12158,1.12174,264,1,0,0,1,0,0,,5.0,4.0,1,0
11,2020.01.02,02:45,1.12173,1.1219,1.12173,1.12183,221,1,0,0,1,0,0,-1.0,3.0,5.0,0,0
12,2020.01.02,03:00,1.12183,1.12232,1.12182,1.12226,372,1,0,0,1,0,0,4.0,5.0,5.0,0,0
13,2020.01.02,03:15,1.12225,1.12245,1.1222,1.12231,507,1,0,0,1,0,0,2.0,3.0,5.0,0,0
14,2020.01.02,03:30,1.1223,1.12237,1.1221,1.1221,316,0,1,0,1,0,0,-2.0,4.0,5.0,0,1
15,2020.01.02,03:45,1.1221,1.12213,1.12181,1.12208,400,0,1,0,1,0,0,2.0,5.0,1.0,0,0
16,2020.01.02,04:00,1.12207,1.1221,1.12185,1.12191,354,0,1,0,1,0,0,-1.0,5.0,4.0,0,0
17,2020.01.02,04:15,1.12191,1.12218,1.12187,1.12218,325,1,0,0,1,0,0,,5.0,5.0,1,0
18,2020.01.02,04:30,1.12218,1.12241,1.12212,1.1224,230,1,0,0,1,0,0,-2.0,5.0,4.0,0,0
19,2020.01.02,04:45,1.1224,1.12246,1.12219,1.12224,211,0,1,0,1,0,0,,4.0,5.0,0,1
20,2020.01.02,05:00,1.12226,1.12232,1.12215,1.1222,218,0,1,0,1,0,0,0.0,4.0,4.0,0,0
21,2020.01.02,05:15,1.12219,1.1222,1.12181,1.12183,398,0,1,0,1,0,0,5.0,5.0,5.0,0,0
22,2020.01.02,05:30,1.12182,1.12182,1.12132,1.12135,449,0,1,0,1,0,0,1.0,5.0,5.0,0,0
23,2020.01.02,05:45,1.12134,1.12143,1.12124,1.12133,322,0,1,0,1,0,0,-2.0,3.0,3.0,0,0
24,2020.01.02,06:00,1.12133,1.12143,1.12127,1.12143,256,1,0,0,1,0,0,-2.0,5.0,4.0,1,0
25,2020.01.02,06:15,1.12143,1.12144,1.12119,1.12124,212,0,1,0,1,0,0,-1.0,5.0,4.0,0,1
26,2020.01.02,06:30,1.12125,1.12125,1.12091,1.12098,372,0,1,0,1,0,0,4.0,5.0,4.0,0,0
27,2020.01.02,06:45,1.12099,1.121,1.12009,1.12012,617,0,1,0,1,0,0,4.0,5.0,5.0,0,0
28,2020.01.02,07:00,1.12011,1.12034,1.12011,1.12013,497,1,0,0,1,0,0,-1.0,1.0,5.0,1,0
29,2020.01.02,07:15,1.12014,1.12035,1.1201,1.12019,483,1,0,0,1,0,0,,2.0,5.0,0,0
30,2020.01.02,07:30,1.1202,1.12034,1.12012,1.12031,354,1,0,0,1,0,0,-2.0,5.0,4.0,0,0
31,2020.01.02,07:45,1.1203,1.12045,1.12019,1.12045,301,1,0,0,1,0,0,-1.0,5.0,3.0,0,0
32,2020.01.02,08:00,1.12044,1.12071,1.12044,1.12069,403,1,0,0,1,0,0,2.0,5.0,5.0,0,0
33,2020.01.02,08:15,1.12068,1.1207,1.12045,1.12055,381,0,1,0,1,0,0,,5.0,4.0,0,1
34,2020.01.02,08:30,1.12054,1.12072,1.12038,1.1207,433,1,0,0,1,0,0,1.0,5.0,3.0,1,0
35,2020.01.02,08:45,1.1207,1.12077,1.12062,1.1207,327,0,0,1,1,0,0,-2.0,5.0,5.0,0,0
36,2020.01.02,09:00,1.12074,1.12101,1.12071,1.12079,1088,1,0,0,1,0,0,5.0,2.0,5.0,0,0
37,2020.01.02,09:15,1.12079,1.12098,1.12057,1.12063,690,0,1,0,1,0,0,-2.0,3.0,5.0,0,1
38,2020.01.02,09:30,1.12064,1.12075,1.12044,1.12075,890,1,0,0,1,0,0,2.0,5.0,2.0,1,0
39,2020.01.02,09:45,1.12074,1.12103,1.12074,1.12099,733,1,0,0,1,0,0,-1.0,5.0,5.0,0,0
40,2020.01.02,10:00,1.12097,1.12138,1.12052,1.12098,1359,1,0,0,1,1,0,5.0,3.0,3.0,0,0
41,2020.01.02,10:15,1.12099,1.12123,1.12073,1.12074,742,0,1,0,1,1,0,-3.0,3.0,5.0,0,1
42,2020.01.02,10:30,1.12074,1.12104,1.1206,1.1209,695,1,0,0,1,1,0,,4.0,4.0,1,0
43,2020.01.02,10:45,1.12091,1.12126,1.12085,1.1212,822,1,0,0,1,1,0,1.0,5.0,5.0,0,0
44,2020.01.02,11:00,1.1212,1.12141,1.12093,1.12106,885,0,1,0,0,1,0,0.0,3.0,4.0,0,1
45,2020.01.02,11:15,1.12106,1.12122,1.12097,1.121,518,0,1,0,0,1,0,-3.0,2.0,5.0,0,0
46,2020.01.02,11:30,1.121,1.12111,1.12053,1.12058,633,0,1,0,0,1,0,2.0,5.0,5.0,0,0
47,2020.01.02,11:45,1.12059,1.12059,1.12012,1.12031,812,0,1,0,0,1,0,2.0,5.0,3.0,0,0
48,2020.01.02,12:00,1.12031,1.12038,1.12011,1.12012,613,0,1,0,0,1,0,-2.0,4.0,5.0,0,0
49,2020.01.02,12:15,1.12013,1.12013,1.11929,1.11932,838,0,1,0,0,1,0,2.0,5.0,5.0,0,0
50,2020.01.02,12:30,1.11932,1.11962,1.11929,1.1194,797,1,0,0,0,1,0,,2.0,5.0,1,0
51,2020.01.02,12:45,1.1194,1.11999,1.11936,1.11983,647,1,0,0,0,1,0,-1.0,4.0,5.0,0,0
52,2020.01.02,13:00,1.11983,1.12022,1.11968,1.12005,910,1,0,0,0,1,0,3.0,4.0,4.0,0,0
53,2020.01.02,13:15,1.12004,1.12004,1.11942,1.11948,766,0,1,0,0,1,0,-1.0,5.0,5.0,0,1
54,2020.01.02,13:30,1.11949,1.11955,1.11872,1.119,1121,0,1,0,0,1,0,3.0,5.0,4.0,0,0
55,2020.01.02,13:45,1.11899,1.11907,1.11842,1.11848,690,0,1,0,0,1,0,-2.0,5.0,5.0,0,0
56,2020.01.02,14:00,1.11847,1.11909,1.11831,1.11908,843,1,0,0,0,1,0,2.0,5.0,4.0,1,0
57,2020.01.02,14:15,1.11907,1.11926,1.11882,1.11917,785,1,0,0,0,1,0,,4.0,3.0,0,0
58,2020.01.02,14:30,1.11918,1.11943,1.1191,1.11919,663,1,0,0,0,1,0,-1.0,2.0,4.0,0,0
59,2020.01.02,14:45,1.1192,1.11941,1.119,1.1193,775,1,0,0,0,1,0,1.0,4.0,3.0,0,0
60,2020.01.02,15:00,1.11929,1.11942,1.1191,1.11925,688,0,1,0,0,1,1,-1.0,3.0,3.0,0,1
61,2020.01.02,15:15,1.11924,1.1197,1.11917,1.11952,984,1,0,0,0,1,1,3.0,4.0,5.0,1,0
62,2020.01.02,15:30,1.11952,1.11952,1.11896,1.11933,1125,0,1,0,0,1,1,1.0,5.0,2.0,0,1
63,2020.01.02,15:45,1.11932,1.11971,1.11918,1.11964,897,1,0,0,0,1,1,-2.0,5.0,4.0,1,0
64,2020.01.02,16:00,1.11964,1.11965,1.11852,1.11862,1198,0,1,0,0,1,1,2.0,5.0,5.0,0,1
65,2020.01.02,16:15,1.11861,1.11873,1.11767,1.11775,1377,0,1,0,0,1,1,1.0,5.0,5.0,0,0
66,2020.01.02,16:30,1.11774,1.11802,1.11712,1.11725,1633,0,1,0,0,1,1,1.0,4.0,5.0,0,0
67,2020.01.02,16:45,1.11727,1.11751,1.11702,1.11741,1632,1,0,0,0,1,1,,4.0,3.0,1,0
68,2020.01.02,17:00,1.11741,1.11765,1.11714,1.11754,1219,1,0,0,0,1,1,-2.0,4.0,3.0,0,0
69,2020.01.02,17:15,1.11753,1.11781,1.11711,1.1174,1484,0,1,0,0,1,1,2.0,3.0,3.0,0,1
70,2020.01.02,17:30,1.11739,1.11828,1.11725,1.11811,1747,1,0,0,0,1,1,1.0,5.0,5.0,1,0
71,2020.01.02,17:45,1.11814,1.12024,1.11804,1.12006,2209,1,0,0,0,1,1,2.0,5.0,5.0,0,0
72,2020.01.02,18:00,1.12008,1.1203,1.11868,1.11874,2048,0,1,0,0,1,1,,5.0,5.0,0,1
73,2020.01.02,18:15,1.11877,1.11877,1.11831,1.11845,1185,0,1,0,0,1,1,-3.0,5.0,4.0,0,0
74,2020.01.02,18:30,1.11845,1.11865,1.11756,1.11758,1175,0,1,0,0,1,1,,5.0,5.0,0,0
75,2020.01.02,18:45,1.1176,1.11775,1.11653,1.11663,1422,0,1,0,0,1,1,2.0,5.0,5.0,0,0
76,2020.01.02,19:00,1.11663,1.11668,1.11637,1.11662,1014,0,1,0,0,0,1,-2.0,5.0,1.0,0,0
77,2020.01.02,19:15,1.1166,1.11712,1.11636,1.11706,952,1,0,0,0,0,1,,5.0,4.0,1,0
78,2020.01.02,19:30,1.11705,1.11719,1.11678,1.11705,537,0,0,1,0,0,1,-3.0,5.0,5.0,0,0
79,2020.01.02,19:45,1.11704,1.11718,1.11647,1.11702,908,0,1,0,0,0,1,4.0,5.0,2.0,0,0
80,2020.01.02,20:00,1.11701,1.11713,1.11645,1.11648,980,0,1,0,0,0,1,0.0,5.0,5.0,0,0
81,2020.01.02,20:15,1.11648,1.11684,1.11637,1.11675,762,1,0,0,0,0,1,-2.0,5.0,4.0,1,0
82,2020.01.02,20:30,1.11676,1.11724,1.11673,1.11714,617,1,0,0,0,0,1,-1.0,5.0,5.0,0,0
83,2020.01.02,20:45,1.11714,1.11715,1.11664,1.11703,572,0,1,0,0,0,1,,5.0,2.0,0,1
84,2020.01.02,21:00,1.11703,1.11704,1.11677,1.11702,642,0,1,0,0,0,1,1.0,5.0,1.0,0,0
85,2020.01.02,21:15,1.11703,1.11703,1.11678,1.11682,560,0,1,0,0,0,1,-1.0,5.0,5.0,0,0
86,2020.01.02,21:30,1.11681,1.11682,1.11645,1.11654,652,0,1,0,0,0,1,1.0,5.0,4.0,0,0
87,2020.01.02,21:45,1.11655,1.11675,1.11643,1.11665,733,1,0,0,0,0,1,1.0,4.0,4.0,1,0
