0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
1,2020.01.02,00:00,1.12117,1.12148,1.12087,1.12142,492,1,0,0,0,0,0,,5.0,3.0
2,2020.01.02,00:30,1.12142,1.12159,1.1214,1.12146,631,1,0,0,0,0,0,2.0,2.0,5.0
3,2020.01.02,01:00,1.12146,1.1222,1.12146,1.12189,1209,1,0,0,0,0,0,5.0,3.0,5.0
4,2020.01.02,02:00,1.1219,1.12192,1.12157,1.12161,610,0,1,0,1,0,0,-3.0,5.0,5.0
5,2020.01.02,02:30,1.12162,1.1219,1.12158,1.12183,485,1,0,0,1,0,0,-2.0,4.0,5.0
6,2020.01.02,03:00,1.12183,1.12245,1.12182,1.12231,879,1,0,0,1,0,0,5.0,4.0,5.0
7,2020.01.02,03:30,1.1223,1.12237,1.12181,1.12208,716,0,1,0,1,0,0,-1.0,5.0,3.0
8,2020.01.02,04:00,1.12207,1.12218,1.12185,1.12218,679,1,0,0,1,0,0,,5.0,2.0
9,2020.01.02,04:30,1.12218,1.12246,1.12212,1.12224,441,1,0,0,1,0,0,-2.0,2.0,5.0
10,2020.01.02,05:00,1.12226,1.12232,1.12181,1.12183,616,0,1,0,1,0,0,2.0,5.0,5.0
11,2020.01.02,05:30,1.12182,1.12182,1.12124,1.12133,771,0,1,0,1,0,0,2.0,5.0,5.0
12,2020.01.02,06:00,1.12133,1.12144,1.12119,1.12124,468,0,1,0,1,0,0,-2.0,3.0,4.0
13,2020.01.02,06:30,1.12125,1.12125,1.12009,1.12012,989,0,1,0,1,0,0,5.0,5.0,5.0
14,2020.01.02,07:00,1.12011,1.12035,1.1201,1.12019,980,1,0,0,1,0,0,,2.0,5.0
15,2020.01.02,07:30,1.1202,1.12045,1.12012,1.12045,655,1,0,0,1,0,0,-2.0,5.0,4.0
16,2020.01.02,08:00,1.12044,1.12071,1.12044,1.12055,784,1,0,0,1,0,0,1.0,3.0,5.0
17,2020.01.02,08:30,1.12054,1.12077,1.12038,1.1207,760,1,0,0,1,0,0,,5.0,3.0
18,2020.01.02,09:00,1.12074,1.12101,1.12057,1.12063,1778,0,1,0,1,0,0,5.0,2.0,5.0
19,2020.01.02,09:30,1.12064,1.12103,1.12044,1.12099,1623,1,0,0,1,0,0,,5.0,4.0
