0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance,nxt_move_1H
1,2021.01.04,00:00,1.22388,1.23097,1.22274,1.22475,120971,1,0,0,0,0,0,,2.0,5.0,0,0,-4.1
2,2021.01.05,00:00,1.22475,1.23056,1.22432,1.22938,111455,1,0,0,0,0,0,,5.0,5.0,0,0,43.7
3,2021.01.06,00:00,1.23006,1.23493,1.22656,1.2325,153672,1,0,0,0,0,0,2.0,4.0,3.0,0,0,-5.1
4,2021.01.07,00:00,1.23249,1.23442,1.2245,1.2271,114528,0,1,0,0,0,0,-2.0,5.0,4.0,0,1,-52.0
5,2021.01.08,00:00,1.2271,1.22844,1.2193,1.22194,130338,0,1,0,0,0,0,1.0,5.0,4.0,0,0,-60.7
6,2021.01.11,00:00,1.22156,1.22212,1.21323,1.21511,110016,0,1,0,0,0,0,-1.0,5.0,4.0,0,0,4.9
7,2021.01.12,00:00,1.21512,1.22097,1.21372,1.22054,99247,1,0,0,0,0,0,,5.0,5.0,1,0,13.1
8,2021.01.13,00:00,1.22059,1.22228,1.21399,1.2157,100064,0,1,0,0,0,0,0.0,4.0,4.0,0,1,-28.8
9,2021.01.14,00:00,1.21568,1.21785,1.21111,1.21521,108563,0,1,0,0,0,0,0.0,4.0,2.0,0,0,-36.2
10,2021.01.15,00:00,1.21521,1.21626,1.20749,1.20753,94494,0,1,0,0,0,0,-1.0,5.0,5.0,0,0,-21.4
11,2021.01.18,00:00,1.20819,1.20866,1.20535,1.20743,73735,0,1,0,0,0,0,-2.0,5.0,2.0,0,0,20.4
12,2021.01.19,00:00,1.20743,1.21449,1.20739,1.21276,83863,1,0,0,0,0,0,1.0,4.0,5.0,1,0,13.2
13,2021.01.20,00:00,1.21282,1.21581,1.20767,1.21047,93394,0,1,0,0,0,0,1.0,4.0,4.0,0,1,26.3
14,2021.01.21,00:00,1.21048,1.21731,1.2103,1.21596,97557,1,0,0,0,0,0,0.0,5.0,5.0,1,0,16.4
