0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance,nxt_move_1H
1,2021.01.04,00:00,1.22388,1.22411,1.22274,1.22329,808,0,1,0,0,0,0,,5.0,3.0,0,0,3.0
2,2021.01.04,01:00,1.22329,1.22526,1.22304,1.225,4884,1,0,0,0,0,0,5.0,5.0,5.0,1,0,-2.8
3,2021.01.04,02:00,1.22498,1.22498,1.22385,1.22407,4359,0,1,0,1,0,0,-1.0,5.0,5.0,0,1,1.2
4,2021.01.04,03:00,1.22408,1.22557,1.22397,1.22525,5264,1,0,0,1,0,0,2.0,4.0,5.0,1,0,2.8
5,2021.01.04,04:00,1.22523,1.22585,1.22494,1.22538,4605,1,0,0,1,0,0,-1.0,3.0,4.0,0,0,-0.8
6,2021.01.04,05:00,1.22539,1.22577,1.22485,1.22548,3397,1,0,0,1,0,0,-2.0,4.0,3.0,0,0,-2.9
7,2021.01.04,06:00,1.22548,1.22548,1.22435,1.22489,2172,0,1,0,1,0,0,-2.0,5.0,3.0,0,1,-2.1
8,2021.01.04,07:00,1.2249,1.22591,1.22414,1.2255,3210,1,0,0,1,0,0,3.0,4.0,3.0,1,0,-1.4
9,2021.01.04,08:00,1.22552,1.22577,1.22421,1.22559,3888,1,0,0,1,0,0,2.0,5.0,1.0,0,0,11.2
10,2021.01.04,09:00,1.22557,1.22689,1.22539,1.22637,4897,1,0,0,1,0,0,2.0,4.0,5.0,0,0,17.4
11,2021.01.04,10:00,1.22638,1.22863,1.22619,1.2281,6889,1,0,0,1,1,0,3.0,4.0,5.0,0,0,14.2
12,2021.01.04,11:00,1.2281,1.23005,1.22791,1.22934,5755,1,0,0,0,1,0,-1.0,4.0,5.0,0,0,-0.8
13,2021.01.04,12:00,1.22935,1.22997,1.22896,1.22922,4417,0,1,0,0,1,0,-2.0,2.0,4.0,0,1,1.6
14,2021.01.04,13:00,1.22922,1.22995,1.22912,1.22929,4298,1,0,0,0,1,0,,2.0,5.0,1,0,6.6
15,2021.01.04,14:00,1.22925,1.23061,1.22869,1.23037,5767,1,0,0,0,1,0,2.0,5.0,4.0,0,0,-1.1
16,2021.01.04,15:00,1.23036,1.2305,1.22863,1.22993,7051,0,1,0,0,1,1,2.0,5.0,2.0,0,1,-2.7
17,2021.01.04,16:00,1.22993,1.23097,1.22836,1.22892,9019,0,1,0,0,1,1,2.0,4.0,4.0,0,0,-23.3
18,2021.01.04,17:00,1.22893,1.22908,1.22603,1.22712,9250,0,1,0,0,1,1,0.0,5.0,4.0,0,0,-8.0
19,2021.01.04,18:00,1.22712,1.22773,1.22523,1.22535,9533,0,1,0,0,1,1,0.0,4.0,5.0,0,0,-2.4
20,2021.01.04,19:00,1.22533,1.22612,1.22499,1.22525,7020,0,1,0,0,0,1,-2.0,2.0,4.0,0,0,-7.5
21,2021.01.04,20:00,1.22525,1.22567,1.22424,1.22509,4771,0,1,0,0,0,1,-2.0,4.0,3.0,0,0,1.5
22,2021.01.04,21:00,1.22507,1.22523,1.22439,1.2252,3696,1,0,0,0,0,1,-2.0,5.0,1.0,1,0,-0.2
23,2021.01.04,22:00,1.22517,1.22521,1.22413,1.22493,3727,0,1,0,0,0,1,0.0,5.0,2.0,0,1,0.3
24,2021.01.04,23:00,1.22493,1.22524,1.22416,1.22475,2294,0,1,0,0,0,0,-2.0,4.0,3.0,0,0,1.6
25,2021.01.05,00:00,1.22475,1.22512,1.22432,1.22497,556,1,0,0,0,0,0,-4.0,5.0,3.0,1,0,2.2
26,2021.01.05,01:00,1.22497,1.22534,1.2247,1.22525,2046,1,0,0,0,0,0,5.0,5.0,3.0,0,0,3.6
27,2021.01.05,02:00,1.22525,1.2257,1.22471,1.22556,3447,1,0,0,1,0,0,4.0,5.0,3.0,0,0,5.9
28,2021.01.05,03:00,1.22555,1.22629,1.22549,1.22571,3939,1,0,0,1,0,0,1.0,2.0,5.0,0,0,10.0
29,2021.01.05,04:00,1.22572,1.22729,1.22568,1.22704,3515,1,0,0,1,0,0,-1.0,5.0,5.0,0,0,3.9
30,2021.01.05,05:00,1.22703,1.22768,1.22675,1.22727,3746,1,0,0,1,0,0,0.0,3.0,4.0,0,0,-4.1
31,2021.01.05,06:00,1.22727,1.22727,1.22659,1.22688,2969,0,1,0,1,0,0,-2.0,5.0,3.0,0,1,1.3
32,2021.01.05,07:00,1.22691,1.22733,1.22672,1.22722,2771,1,0,0,1,0,0,,5.0,4.0,1,0,1.1
33,2021.01.05,08:00,1.22723,1.22744,1.22665,1.22698,3341,0,1,0,1,0,0,2.0,4.0,3.0,0,1,-11.4
34,2021.01.05,09:00,1.22696,1.22708,1.22551,1.22585,5847,0,1,0,1,0,0,4.0,5.0,4.0,0,0,3.0
35,2021.01.05,10:00,1.22587,1.22786,1.22581,1.22743,7340,1,0,0,1,1,0,2.0,4.0,5.0,1,0,5.2
36,2021.01.05,11:00,1.22742,1.22838,1.22684,1.22722,5515,0,1,0,0,1,0,-2.0,2.0,4.0,0,1,3.0
37,2021.01.05,12:00,1.22723,1.22842,1.22714,1.22772,4592,1,0,0,0,1,0,-1.0,3.0,5.0,1,0,6.5
38,2021.01.05,13:00,1.22772,1.22907,1.22768,1.2283,4643,1,0,0,0,1,0,0.0,3.0,5.0,0,0,-6.2
39,2021.01.05,14:00,1.22829,1.22845,1.22658,1.22724,6164,0,1,0,0,1,0,2.0,5.0,4.0,0,1,-5.5
40,2021.01.05,15:00,1.22723,1.22759,1.22603,1.22625,6536,0,1,0,0,1,1,0.0,4.0,5.0,0,0,-1.2
41,2021.01.05,16:00,1.22627,1.22784,1.22591,1.22642,7397,1,0,0,0,1,1,1.0,2.0,5.0,1,0,4.1
42,2021.01.05,17:00,1.2264,1.22825,1.22539,1.22755,9976,1,0,0,0,1,1,2.0,4.0,4.0,0,0,14.0
43,2021.01.05,18:00,1.22755,1.22965,1.22731,1.22945,7787,1,0,0,0,1,1,-2.0,5.0,5.0,0,0,8.6
44,2021.01.05,19:00,1.22944,1.23051,1.22925,1.22993,6518,1,0,0,0,0,1,-1.0,3.0,5.0,0,0,-0.3
45,2021.01.05,20:00,1.22992,1.23048,1.22925,1.22933,4160,0,1,0,0,0,1,-2.0,3.0,5.0,0,1,-2.8
46,2021.01.05,21:00,1.22934,1.23039,1.22897,1.23034,3624,1,0,0,0,0,1,-1.0,5.0,4.0,1,0,1.7
47,2021.01.05,22:00,1.23032,1.23056,1.22927,1.22936,3325,0,1,0,0,0,1,,5.0,5.0,0,1,-3.2
48,2021.01.05,23:00,1.22937,1.2299,1.22895,1.22938,1701,1,0,0,0,0,0,-3.0,3.0,3.0,1,0,2.2
49,2021.01.06,00:00,1.23006,1.23012,1.22912,1.22956,731,0,1,0,0,0,0,-3.0,5.0,3.0,0,1,3.2
50,2021.01.06,01:00,1.22957,1.23017,1.22944,1.2299,2202,1,0,0,0,0,0,5.0,4.0,5.0,1,0,24.1
51,2021.01.06,02:00,1.22989,1.23258,1.22918,1.23091,5938,1,0,0,1,0,0,5.0,3.0,4.0,0,0,-10.6
52,2021.01.06,03:00,1.23091,1.23152,1.22809,1.22891,11371,0,1,0,1,0,0,5.0,5.0,4.0,0,1,-4.2
53,2021.01.06,04:00,1.22891,1.22935,1.22767,1.22784,6455,0,1,0,1,0,0,-3.0,4.0,5.0,0,0,-1.2
54,2021.01.06,05:00,1.22782,1.22951,1.22755,1.22855,6209,1,0,0,1,0,0,,3.0,5.0,1,0,11.4
55,2021.01.06,06:00,1.22854,1.23065,1.22836,1.22916,6185,1,0,0,1,0,0,,2.0,5.0,0,0,-0.8
56,2021.01.06,07:00,1.22915,1.23057,1.22915,1.22964,3771,1,0,0,1,0,0,-2.0,2.0,5.0,0,0,15.8
57,2021.01.06,08:00,1.22965,1.23215,1.22965,1.23165,4405,1,0,0,1,0,0,1.0,4.0,5.0,0,0,23.7
58,2021.01.06,09:00,1.23166,1.23452,1.23124,1.23399,8610,1,0,0,1,0,0,5.0,5.0,5.0,0,0,-4.8
59,2021.01.06,10:00,1.23398,1.23404,1.23221,1.23242,8230,0,1,0,1,1,0,,5.0,5.0,0,1,-1.5
60,2021.01.06,11:00,1.23246,1.23388,1.23206,1.23379,6752,1,0,0,0,1,0,-1.0,5.0,4.0,1,0,5.5
61,2021.01.06,12:00,1.23378,1.23443,1.23331,1.23382,5864,1,0,0,0,1,0,-1.0,3.0,3.0,0,0,4.7
62,2021.01.06,13:00,1.23382,1.2349,1.23334,1.23374,5507,0,1,0,0,1,0,,2.0,4.0,0,1,-3.6
63,2021.01.06,14:00,1.23375,1.23493,1.23298,1.23398,6171,1,0,0,0,1,0,1.0,3.0,4.0,1,0,-4.6
64,2021.01.06,15:00,1.23397,1.23447,1.23165,1.23199,7640,0,1,0,0,1,1,2.0,5.0,5.0,0,1,-24.2
65,2021.01.06,16:00,1.23197,1.23206,1.22923,1.23091,12258,0,1,0,0,1,1,4.0,5.0,3.0,0,0,-17.1
66,2021.01.06,17:00,1.2309,1.23176,1.22752,1.22822,9899,0,1,0,0,1,1,-1.0,4.0,5.0,0,0,-9.6
67,2021.01.06,18:00,1.22822,1.22923,1.22656,1.22896,8357,1,0,0,0,1,1,-1.0,5.0,2.0,1,0,11.8
68,2021.01.06,19:00,1.22897,1.23041,1.22853,1.22985,4527,1,0,0,0,0,1,-3.0,4.0,4.0,0,0,13.3
69,2021.01.06,20:00,1.22984,1.23174,1.22963,1.23101,3715,1,0,0,0,0,1,-1.0,4.0,5.0,0,0,-1.4
70,2021.01.06,21:00,1.23102,1.2316,1.22976,1.23068,8120,0,1,0,0,0,1,5.0,4.0,3.0,0,1,9.2
71,2021.01.06,22:00,1.23068,1.23398,1.23068,1.23246,7755,1,0,0,0,0,1,,3.0,5.0,1,0,-8.7
72,2021.01.06,23:00,1.23246,1.23311,1.23217,1.2325,3000,1,0,0,0,0,0,-4.0,2.0,4.0,0,0,-0.4
73,2021.01.07,00:00,1.23249,1.23307,1.2322,1.23278,803,1,0,0,0,0,0,-4.0,4.0,4.0,0,0,9.0
74,2021.01.07,01:00,1.23278,1.23397,1.23266,1.23386,2823,1,0,0,0,0,0,5.0,5.0,5.0,0,0,4.5
75,2021.01.07,02:00,1.23383,1.23442,1.23298,1.23329,3919,0,1,0,1,0,0,2.0,3.0,4.0,0,1,-1.7
76,2021.01.07,03:00,1.2333,1.23371,1.23281,1.23306,4103,0,1,0,1,0,0,0.0,3.0,4.0,0,0,-9.4
77,2021.01.07,04:00,1.23306,1.23323,1.23187,1.23245,5157,0,1,0,1,0,0,2.0,5.0,3.0,0,0,5.0
78,2021.01.07,05:00,1.23244,1.23285,1.23237,1.23276,2548,1,0,0,1,0,0,-3.0,5.0,5.0,1,0,2.8
79,2021.01.07,06:00,1.23275,1.23313,1.2324,1.23245,2059,0,1,0,1,0,0,-1.0,3.0,5.0,0,1,-13.3
80,2021.01.07,07:00,1.23246,1.23253,1.23107,1.23125,3025,0,1,0,1,0,0,3.0,5.0,5.0,0,0,-3.5
81,2021.01.07,08:00,1.23125,1.23247,1.23072,1.23203,3887,1,0,0,1,0,0,2.0,4.0,4.0,1,0,0.9
82,2021.01.07,09:00,1.23202,1.23256,1.2308,1.23111,5637,0,1,0,1,0,0,3.0,4.0,5.0,0,1,-15.2
83,2021.01.07,10:00,1.2311,1.23169,1.22928,1.22943,8699,0,1,0,1,1,0,3.0,4.0,5.0,0,0,-28.7
84,2021.01.07,11:00,1.22943,1.22956,1.22641,1.22688,7810,0,1,0,0,1,0,-1.0,5.0,5.0,0,0,-19.1
85,2021.01.07,12:00,1.22689,1.22738,1.2245,1.22495,6899,0,1,0,0,1,0,-1.0,5.0,5.0,0,0,2.7
86,2021.01.07,13:00,1.22494,1.22662,1.22477,1.22567,4979,1,0,0,0,1,0,-2.0,3.0,5.0,1,0,7.0
87,2021.01.07,14:00,1.2257,1.22732,1.22507,1.22674,4976,1,0,0,0,1,0,,4.0,4.0,0,0,5.3
88,2021.01.07,15:00,1.22676,1.22785,1.22617,1.22685,6541,1,0,0,0,1,1,2.0,3.0,4.0,0,0,4.1
89,2021.01.07,16:00,1.22683,1.22826,1.22533,1.2258,10227,0,1,0,0,1,1,3.0,3.0,5.0,0,1,-7.1
90,2021.01.07,17:00,1.22578,1.22677,1.22462,1.22593,9250,1,0,0,0,1,1,,4.0,3.0,1,0,9.6
91,2021.01.07,18:00,1.22593,1.22773,1.22589,1.22637,6422,1,0,0,0,1,1,-2.0,2.0,5.0,0,0,-6.0
92,2021.01.07,19:00,1.22636,1.22713,1.22547,1.22658,4118,1,0,0,0,0,1,-2.0,4.0,3.0,0,0,7.7
93,2021.01.07,20:00,1.22662,1.2279,1.22628,1.22741,3419,1,0,0,0,0,1,-1.0,4.0,4.0,0,0,-3.5
94,2021.01.07,21:00,1.22742,1.22755,1.2264,1.22678,2993,0,1,0,0,0,1,-1.0,5.0,4.0,0,1,-1.0
95,2021.01.07,22:00,1.22678,1.22719,1.2263,1.22656,2323,0,1,0,0,0,1,-2.0,3.0,4.0,0,0,-0.4
96,2021.01.07,23:00,1.22655,1.22768,1.22626,1.2271,1911,1,0,0,0,0,0,-1.0,3.0,4.0,1,0,-5.8
97,2021.01.08,00:00,1.2271,1.2271,1.22605,1.22654,818,0,1,0,0,0,0,-3.0,5.0,3.0,0,1,4.8
98,2021.01.08,01:00,1.2266,1.22719,1.22653,1.2269,2267,1,0,0,0,0,0,5.0,3.0,5.0,1,0,0.4
99,2021.01.08,02:00,1.22689,1.22723,1.22565,1.22582,3347,0,1,0,1,0,0,3.0,4.0,5.0,0,1,-21.7
100,2021.01.08,03:00,1.22583,1.22599,1.22348,1.22479,6326,0,1,0,1,0,0,5.0,5.0,3.0,0,0,10.7
101,2021.01.08,04:00,1.22481,1.22604,1.22455,1.22599,4350,1,0,0,1,0,0,-2.0,5.0,5.0,1,0,4.3
102,2021.01.08,05:00,1.22601,1.22647,1.22587,1.22616,3232,1,0,0,1,0,0,-2.0,3.0,4.0,0,0,-1.4
103,2021.01.08,06:00,1.22615,1.22633,1.22561,1.22632,2493,1,0,0,1,0,0,-2.0,5.0,2.0,0,0,4.8
104,2021.01.08,07:00,1.22633,1.22681,1.22568,1.22578,3162,0,1,0,1,0,0,2.0,3.0,5.0,0,1,0.7
105,2021.01.08,08:00,1.22581,1.22681,1.22575,1.22624,2772,1,0,0,1,0,0,-1.0,3.0,5.0,1,0,0.9
