0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2021.01.04,00:00,1.22388,1.22411,1.22274,1.22308,232,0,1,0,0,0,0
2,2021.01.04,00:15,1.22308,1.22384,1.22307,1.22367,163,1,0,0,0,0,0
3,2021.01.04,00:30,1.22367,1.22396,1.22323,1.22339,302,0,1,0,0,0,0
4,2021.01.04,00:45,1.22342,1.22349,1.22325,1.22329,111,0,1,0,0,0,0
5,2021.01.04,01:00,1.22329,1.22409,1.22304,1.22393,1927,1,0,0,0,0,0
6,2021.01.04,01:15,1.22391,1.22405,1.22336,1.22398,844,1,0,0,0,0,0
7,2021.01.04,01:30,1.22397,1.2248,1.22393,1.22469,929,1,0,0,0,0,0
8,2021.01.04,01:45,1.22469,1.22526,1.22434,1.225,1184,1,0,0,0,0,0
9,2021.01.04,02:00,1.22498,1.22498,1.22426,1.22454,1443,0,1,0,1,0,0
10,2021.01.04,02:15,1.22454,1.22474,1.22405,1.22453,1101,0,1,0,1,0,0
11,2021.01.04,02:30,1.22454,1.22455,1.22385,1.2241,867,0,1,0,1,0,0
12,2021.01.04,02:45,1.2241,1.22441,1.22395,1.22407,948,0,1,0,1,0,0
13,2021.01.04,03:00,1.22408,1.22502,1.22397,1.22477,1334,1,0,0,1,0,0
14,2021.01.04,03:15,1.22477,1.22487,1.22428,1.22446,894,0,1,0,1,0,0
15,2021.01.04,03:30,1.22447,1.22551,1.22414,1.22503,1551,1,0,0,1,0,0
16,2021.01.04,03:45,1.22503,1.22557,1.22487,1.22525,1485,1,0,0,1,0,0
17,2021.01.04,04:00,1.22523,1.22582,1.22509,1.2256,1475,1,0,0,1,0,0
18,2021.01.04,04:15,1.22561,1.22578,1.22508,1.22547,1442,0,1,0,1,0,0
19,2021.01.04,04:30,1.22549,1.22585,1.22494,1.22518,917,0,1,0,1,0,0
20,2021.01.04,04:45,1.22519,1.22543,1.22503,1.22538,771,1,0,0,1,0,0
21,2021.01.04,05:00,1.22539,1.22552,1.22499,1.22536,827,0,1,0,1,0,0
22,2021.01.04,05:15,1.22535,1.22577,1.22525,1.22573,646,1,0,0,1,0,0
23,2021.01.04,05:30,1.22573,1.22574,1.22485,1.22541,983,0,1,0,1,0,0
24,2021.01.04,05:45,1.2254,1.22576,1.22515,1.22548,941,1,0,0,1,0,0
25,2021.01.04,06:00,1.22548,1.22548,1.22507,1.22513,466,0,1,0,1,0,0
26,2021.01.04,06:15,1.22513,1.22515,1.22479,1.22487,509,0,1,0,1,0,0
27,2021.01.04,06:30,1.2249,1.22498,1.22435,1.22466,733,0,1,0,1,0,0
28,2021.01.04,06:45,1.22465,1.22489,1.22448,1.22489,464,1,0,0,1,0,0
29,2021.01.04,07:00,1.2249,1.22495,1.22462,1.22463,469,0,1,0,1,0,0
30,2021.01.04,07:15,1.22464,1.22466,1.22414,1.22446,830,0,1,0,1,0,0
31,2021.01.04,07:30,1.22446,1.2248,1.22445,1.22461,716,1,0,0,1,0,0
32,2021.01.04,07:45,1.22463,1.22591,1.22455,1.2255,1195,1,0,0,1,0,0
33,2021.01.04,08:00,1.22552,1.22565,1.22461,1.22461,1231,0,1,0,1,0,0
34,2021.01.04,08:15,1.22462,1.22475,1.22421,1.22454,1094,0,1,0,1,0,0
35,2021.01.04,08:30,1.22458,1.22527,1.22456,1.22509,765,1,0,0,1,0,0
