0,date,time,open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2021.01.04,00:00,1.22388,1.22411,1.22274,1.22367,395,0,1,0,0,0,0
2,2021.01.04,00:30,1.22367,1.22396,1.22323,1.22329,413,0,1,0,0,0,0
3,2021.01.04,01:00,1.22329,1.22409,1.22304,1.22398,2771,1,0,0,0,0,0
4,2021.01.04,01:30,1.22397,1.22526,1.22393,1.225,2113,1,0,0,0,0,0
5,2021.01.04,02:00,1.22498,1.22498,1.22405,1.22453,2544,0,1,0,1,0,0
6,2021.01.04,02:30,1.22454,1.22455,1.22385,1.22407,1815,0,1,0,1,0,0
7,2021.01.04,03:00,1.22408,1.22502,1.22397,1.22446,2228,1,0,0,1,0,0
8,2021.01.04,03:30,1.22447,1.22557,1.22414,1.22525,3036,1,0,0,1,0,0
9,2021.01.04,04:00,1.22523,1.22582,1.22508,1.22547,2917,1,0,0,1,0,0
10,2021.01.04,04:30,1.22549,1.22585,1.22494,1.22538,1688,0,1,0,1,0,0
11,2021.01.04,05:00,1.22539,1.22577,1.22499,1.22573,1473,1,0,0,1,0,0
12,2021.01.04,05:30,1.22573,1.22576,1.22485,1.22548,1924,0,1,0,1,0,0
13,2021.01.04,06:00,1.22548,1.22548,1.22479,1.22487,975,0,1,0,1,0,0
14,2021.01.04,06:30,1.2249,1.22498,1.22435,1.22489,1197,0,1,0,1,0,0
15,2021.01.04,07:00,1.2249,1.22495,1.22414,1.22446,1299,0,1,0,1,0,0
16,2021.01.04,07:30,1.22446,1.22591,1.22445,1.2255,1911,1,0,0,1,0,0
17,2021.01.04,08:00,1.22552,1.22565,1.22421,1.22454,2325,0,1,0,1,0,0
18,2021.01.04,08:30,1.22458,1.22577,1.22456,1.22559,1563,1,0,0,1,0,0
19,2021.01.04,09:00,1.22557,1.22682,1.22539,1.22653,2459,1,0,0,1,0,0
20,2021.01.04,09:30,1.22654,1.22689,1.22565,1.22637,2438,0,1,0,1,0,0
21,2021.01.04,10:00,1.22638,1.22742,1.22619,1.22722,3801,1,0,0,1,1,0
22,2021.01.04,10:30,1.22723,1.22863,1.22711,1.2281,3088,1,0,0,1,1,0
23,2021.01.04,11:00,1.2281,1.22952,1.22791,1.22943,2793,1,0,0,0,1,0
24,2021.01.04,11:30,1.22943,1.23005,1.22892,1.22934,2962,0,1,0,0,1,0
25,2021.01.04,12:00,1.22935,1.22997,1.22898,1.22927,2215,0,1,0,0,1,0
26,2021.01.04,12:30,1.22927,1.22983,1.22896,1.22922,2202,0,1,0,0,1,0
27,2021.01.04,13:00,1.22922,1.22995,1.22921,1.22977,1998,1,0,0,0,1,0
28,2021.01.04,13:30,1.22977,1.22989,1.22912,1.22929,2300,0,1,0,0,1,0
29,2021.01.04,14:00,1.22925,1.23,1.22869,1.22994,3026,1,0,0,0,1,0
30,2021.01.04,14:30,1.22993,1.23061,1.22939,1.23037,2741,1,0,0,0,1,0
31,2021.01.04,15:00,1.23036,1.2305,1.22863,1.22886,3927,0,1,0,0,1,1
32,2021.01.04,15:30,1.22887,1.2304,1.22886,1.22993,3124,1,0,0,0,1,1
33,2021.01.04,16:00,1.22993,1.23097,1.22937,1.23064,3508,1,0,0,0,1,1
34,2021.01.04,16:30,1.23064,1.23079,1.22836,1.22892,5511,0,1,0,0,1,1
35,2021.01.04,17:00,1.22893,1.22908,1.22707,1.22707,4193,0,1,0,0,1,1
36,2021.01.04,17:30,1.22705,1.22736,1.22603,1.22712,5057,1,0,0,0,1,1
37,2021.01.04,18:00,1.22712,1.22773,1.22665,1.2267,4822,0,1,0,0,1,1
38,2021.01.04,18:30,1.2267,1.2271,1.22523,1.22535,4711,0,1,0,0,1,1
39,2021.01.04,19:00,1.22533,1.226,1.225,1.22587,3833,1,0,0,0,0,1
40,2021.01.04,19:30,1.22586,1.22612,1.22499,1.22525,3187,0,1,0,0,0,1
41,2021.01.04,20:00,1.22525,1.22567,1.22453,1.22492,2522,0,1,0,0,0,1
42,2021.01.04,20:30,1.22493,1.22511,1.22424,1.22509,2249,1,0,0,0,0,1
43,2021.01.04,21:00,1.22507,1.22513,1.22439,1.22479,1917,0,1,0,0,0,1
44,2021.01.04,21:30,1.22479,1.22523,1.22464,1.2252,1779,1,0,0,0,0,1
45,2021.01.04,22:00,1.22517,1.22521,1.2244,1.22455,1552,0,1,0,0,0,1
46,2021.01.04,22:30,1.22455,1.22495,1.22413,1.22493,2175,1,0,0,0,0,1
47,2021.01.04,23:00,1.22493,1.22496,1.22419,1.22421,1071,0,1,0,0,0,0
48,2021.01.04,23:30,1.22422,1.22524,1.22416,1.22475,1223,1,0,0,0,0,0
49,2021.01.05,00:00,1.22475,1.22512,1.22432,1.22502,337,1,0,0,0,0,0
50,2021.01.05,00:30,1.22501,1.22504,1.22493,1.22497,219,0,1,0,0,0,0
51,2021.01.05,01:00,1.22497,1.22534,1.2247,1.22488,883,0,1,0,0,0,0
52,2021.01.05,01:30,1.22488,1.22533,1.22488,1.22525,1163,1,0,0,0,0,0
53,2021.01.05,02:00,1.22525,1.22525,1.22471,1.22524,1736,0,1,0,1,0,0
54,2021.01.05,02:30,1.22524,1.2257,1.22516,1.22556,1711,1,0,0,1,0,0
55,2021.01.05,03:00,1.22555,1.22629,1.22549,1.22624,2076,1,0,0,1,0,0
56,2021.01.05,03:30,1.22623,1.22626,1.22566,1.22571,1863,0,1,0,1,0,0
57,2021.01.05,04:00,1.22572,1.22648,1.22568,1.22645,1649,1,0,0,1,0,0
58,2021.01.05,04:30,1.22646,1.22729,1.22643,1.22704,1866,1,0,0,1,0,0
59,2021.01.05,05:00,1.22703,1.22753,1.22677,1.22753,1762,1,0,0,1,0,0
60,2021.01.05,05:30,1.22754,1.22768,1.22675,1.22727,1984,0,1,0,1,0,0
61,2021.01.05,06:00,1.22727,1.22727,1.22659,1.22671,1829,0,1,0,1,0,0
62,2021.01.05,06:30,1.22673,1.22701,1.22663,1.22688,1140,1,0,0,1,0,0
63,2021.01.05,07:00,1.22691,1.22721,1.22691,1.22704,1306,1,0,0,1,0,0
64,2021.01.05,07:30,1.22704,1.22733,1.22672,1.22722,1465,1,0,0,1,0,0
65,2021.01.05,08:00,1.22723,1.22732,1.22667,1.22675,1541,0,1,0,1,0,0
66,2021.01.05,08:30,1.22674,1.22744,1.22665,1.22698,1800,1,0,0,1,0,0
67,2021.01.05,09:00,1.22696,1.22708,1.22613,1.22701,2959,1,0,0,1,0,0
68,2021.01.05,09:30,1.227,1.22705,1.22551,1.22585,2888,0,1,0,1,0,0
69,2021.01.05,10:00,1.22587,1.22786,1.22581,1.22675,3806,1,0,0,1,1,0
70,2021.01.05,10:30,1.22675,1.22753,1.22611,1.22743,3534,1,0,0,1,1,0
71,2021.01.05,11:00,1.22742,1.22838,1.2272,1.22837,2744,1,0,0,0,1,0
72,2021.01.05,11:30,1.22837,1.22838,1.22684,1.22722,2771,0,1,0,0,1,0
73,2021.01.05,12:00,1.22723,1.22841,1.22714,1.22812,2435,1,0,0,0,1,0
74,2021.01.05,12:30,1.22813,1.22842,1.22755,1.22772,2157,0,1,0,0,1,0
75,2021.01.05,13:00,1.22772,1.2285,1.22768,1.2283,2299,1,0,0,0,1,0
76,2021.01.05,13:30,1.22831,1.22907,1.22812,1.2283,2344,0,1,0,0,1,0
77,2021.01.05,14:00,1.22829,1.22845,1.2267,1.22716,2913,0,1,0,0,1,0
78,2021.01.05,14:30,1.22716,1.22776,1.22658,1.22724,3251,1,0,0,0,1,0
79,2021.01.05,15:00,1.22723,1.22759,1.22652,1.22684,3300,0,1,0,0,1,1
80,2021.01.05,15:30,1.22685,1.22728,1.22603,1.22625,3236,0,1,0,0,1,1
81,2021.01.05,16:00,1.22627,1.22746,1.2262,1.22733,2666,1,0,0,0,1,1
82,2021.01.05,16:30,1.22735,1.22784,1.22591,1.22642,4731,0,1,0,0,1,1
83,2021.01.05,17:00,1.2264,1.22666,1.22539,1.2265,5299,1,0,0,0,1,1
84,2021.01.05,17:30,1.22651,1.22825,1.22604,1.22755,4677,1,0,0,0,1,1
85,2021.01.05,18:00,1.22755,1.22816,1.22731,1.22807,3818,1,0,0,0,1,1
86,2021.01.05,18:30,1.22807,1.22965,1.22807,1.22945,3969,1,0,0,0,1,1
87,2021.01.05,19:00,1.22944,1.23051,1.22925,1.22985,3861,1,0,0,0,0,1
88,2021.01.05,19:30,1.22987,1.23022,1.22965,1.22993,2657,1,0,0,0,0,1
89,2021.01.05,20:00,1.22992,1.23048,1.22967,1.23024,1881,1,0,0,0,0,1
90,2021.01.05,20:30,1.23025,1.23028,1.22925,1.22933,2279,0,1,0,0,0,1
91,2021.01.05,21:00,1.22934,1.23001,1.22897,1.22987,2228,1,0,0,0,0,1
92,2021.01.05,21:30,1.22988,1.23039,1.22967,1.23034,1396,1,0,0,0,0,1
93,2021.01.05,22:00,1.23032,1.23056,1.22974,1.22974,1719,0,1,0,0,0,1
94,2021.01.05,22:30,1.22971,1.22995,1.22927,1.22936,1606,0,1,0,0,0,1
95,2021.01.05,23:00,1.22937,1.22943,1.22895,1.22926,806,0,1,0,0,0,0
96,2021.01.05,23:30,1.22927,1.2299,1.22917,1.22938,895,1,0,0,0,0,0
97,2021.01.06,00:00,1.23006,1.23012,1.22912,1.22941,306,0,1,0,0,0,0
98,2021.01.06,00:30,1.22939,1.22973,1.2292,1.22956,425,1,0,0,0,0,0
99,2021.01.06,01:00,1.22957,1.23,1.22944,1.22974,1242,1,0,0,0,0,0
100,2021.01.06,01:30,1.22974,1.23017,1.22963,1.2299,960,1,0,0,0,0,0
101,2021.01.06,02:00,1.22989,1.2303,1.22918,1.22971,2004,0,1,0,1,0,0
102,2021.01.06,02:30,1.22971,1.23258,1.2292,1.23091,3934,1,0,0,1,0,0
103,2021.01.06,03:00,1.23091,1.23152,1.22886,1.22918,6383,0,1,0,1,0,0
104,2021.01.06,03:30,1.22918,1.22961,1.22809,1.22891,4988,0,1,0,1,0,0
105,2021.01.06,04:00,1.22891,1.22935,1.22821,1.22868,3434,0,1,0,1,0,0
