0,date,time,open,high,low,close,volume,state
1,2020.01.02,00:00,1.12117,1.12245,1.12087,1.12208,5022,1
2,2020.01.02,04:00,1.12207,1.12246,1.12009,1.12045,5599,-1
3,2020.01.02,08:00,1.12044,1.12141,1.12012,1.12031,11411,-1
4,2020.01.02,12:00,1.12031,1.12038,1.11831,1.11964,13142,-1
5,2020.01.02,16:00,1.11964,1.1203,1.11636,1.11702,21740,-1
6,2020.01.02,20:00,1.11701,1.11735,1.11637,1.11717,8418,1
7,2020.01.03,00:00,1.11713,1.11785,1.11689,1.11736,4407,1
8,2020.01.03,04:00,1.11736,1.11776,1.11644,1.11665,9269,-1
9,2020.01.03,08:00,1.11664,1.11717,1.114,1.11402,17344,-1
10,2020.01.03,12:00,1.11403,1.11488,1.11251,1.1138,17188,-1
11,2020.01.03,16:00,1.11381,1.11799,1.11353,1.11722,19432,1
12,2020.01.03,20:00,1.11721,1.11733,1.1152,1.11585,9986,-1
13,2020.01.06,00:00,1.11584,1.11684,1.11584,1.11629,9569,1
14,2020.01.06,04:00,1.11628,1.11711,1.11606,1.11624,5524,-1
15,2020.01.06,08:00,1.11624,1.11938,1.11572,1.11936,15160,1
16,2020.01.06,12:00,1.11934,1.12057,1.119,1.11977,14258,1
17,2020.01.06,16:00,1.11977,1.12003,1.11811,1.11952,15552,-1
18,2020.01.06,20:00,1.11952,1.11991,1.1188,1.11968,6809,1
19,2020.01.07,00:00,1.11968,1.11974,1.11893,1.11935,5501,-1
20,2020.01.07,04:00,1.11933,1.11945,1.11828,1.1183,4041,-1
21,2020.01.07,08:00,1.11831,1.11898,1.11726,1.11846,17645,1
22,2020.01.07,12:00,1.11846,1.11862,1.11547,1.11561,17536,-1
23,2020.01.07,16:00,1.11561,1.11623,1.11337,1.11425,19164,-1
24,2020.01.07,20:00,1.11425,1.11535,1.11413,1.11529,7570,1
25,2020.01.08,00:00,1.11528,1.11683,1.11441,1.11557,20687,1
26,2020.01.08,04:00,1.11558,1.11614,1.11451,1.11493,12983,-1
27,2020.01.08,08:00,1.11491,1.11549,1.11253,1.11384,20944,-1
28,2020.01.08,12:00,1.11385,1.11386,1.1111,1.112,19948,-1
29,2020.01.08,16:00,1.112,1.11309,1.11087,1.11181,21702,-1
30,2020.01.08,20:00,1.11178,1.11178,1.11018,1.11053,9349,-1
31,2020.01.09,00:00,1.11053,1.11194,1.11033,1.11174,7440,1
32,2020.01.09,04:00,1.11174,1.11191,1.11127,1.11183,4993,1
33,2020.01.09,08:00,1.11183,1.11204,1.10985,1.10995,16502,-1
34,2020.01.09,12:00,1.10997,1.11174,1.10967,1.11149,14528,1
35,2020.01.09,16:00,1.11149,1.11149,1.10928,1.11047,15172,-1
36,2020.01.09,20:00,1.11048,1.11099,1.11035,1.11057,7247,1
37,2020.01.10,00:00,1.11054,1.11095,1.1102,1.11043,4669,-1
38,2020.01.10,04:00,1.11044,1.11111,1.11036,1.1109,4248,1
39,2020.01.10,08:00,1.1109,1.11111,1.10912,1.10965,11085,-1
40,2020.01.10,12:00,1.10965,1.11137,1.1085,1.10969,15955,1
41,2020.01.10,16:00,1.10967,1.11292,1.10864,1.11223,19324,1
42,2020.01.10,20:00,1.11225,1.11233,1.11157,1.11157,5548,-1
43,2020.01.13,00:00,1.11106,1.11214,1.11106,1.11213,3881,1
