0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
1,2019.01.02,00:00,139.598,139.908,137.26,137.26,214711,0,1,0,0,0,0,,5.0,5.0
2,2019.01.03,00:00,137.241,137.283,131.66,135.941,281752,0,1,0,0,0,0,2.0,5.0,2.0
3,2019.01.04,00:00,135.942,138.303,135.806,138.098,231886,1,0,0,0,0,0,-1.0,5.0,5.0
4,2019.01.07,00:00,137.954,138.938,137.613,138.903,168023,1,0,0,0,0,0,-2.0,5.0,4.0
5,2019.01.08,00:00,138.905,139.437,137.975,138.228,163337,0,1,0,0,0,0,,4.0,5.0
6,2019.01.09,00:00,138.215,139.105,137.76,138.317,189304,1,0,0,0,0,0,1.0,3.0,4.0
7,2019.01.10,00:00,138.322,138.529,137.449,138.203,157791,0,1,0,0,0,0,-1.0,5.0,2.0
8,2019.01.11,00:00,138.204,140.054,137.637,139.15,297006,1,0,0,0,0,0,5.0,4.0,4.0
9,2019.01.15,00:00,139.15,140.431,137.362,139.765,195225,1,0,0,0,0,0,-2.0,4.0,3.0
10,2019.01.16,00:00,139.715,140.702,138.988,140.486,163789,1,0,0,0,0,0,-1.0,5.0,3.0
11,2019.01.17,00:00,140.483,142.214,139.508,141.84,175790,1,0,0,0,0,0,0.0,5.0,4.0
12,2019.01.18,00:00,141.84,142.079,141.087,141.288,156747,0,1,0,0,0,0,-1.0,4.0,4.0
13,2019.01.21,00:00,141.163,141.53,140.686,141.354,155786,1,0,0,0,0,0,,4.0,3.0
14,2019.01.22,00:00,141.354,141.931,140.627,141.7,150544,1,0,0,0,0,0,,5.0,3.0
15,2019.01.23,00:00,141.701,143.56,141.618,143.183,157188,1,0,0,0,0,0,0.0,5.0,5.0
16,2019.01.24,00:00,143.183,143.55,142.711,143.229,166848,1,0,0,0,0,0,0.0,4.0,3.0
17,2019.01.25,00:00,143.228,144.841,143.083,144.583,180014,1,0,0,0,0,0,0.0,5.0,5.0
18,2019.01.28,00:00,144.424,144.721,143.601,143.822,152788,0,1,0,0,0,0,-1.0,4.0,5.0
19,2019.01.29,00:00,143.832,144.489,142.735,142.91,181320,0,1,0,0,0,0,1.0,4.0,5.0
20,2019.01.30,00:00,142.911,143.598,142.734,142.998,166787,1,0,0,0,0,0,,2.0,4.0
21,2019.01.31,00:00,143.004,143.21,142.243,142.692,158859,0,1,0,0,0,0,,4.0,3.0
22,2019.02.01,00:00,142.682,143.498,142.079,143.243,145878,1,0,0,0,0,0,,5.0,3.0
23,2019.02.04,00:00,143.013,144.173,142.984,143.207,137505,1,0,0,0,0,0,,1.0,5.0
24,2019.02.05,00:00,143.207,143.559,142.04,142.324,118256,0,1,0,0,0,0,-1.0,4.0,5.0
25,2019.02.06,00:00,142.303,142.516,141.756,142.174,124005,0,1,0,0,0,0,0.0,4.0,3.0
26,2019.02.07,00:00,142.178,142.627,141.125,142.199,133140,1,0,0,0,0,0,0.0,4.0,2.0
27,2019.02.08,00:00,142.201,142.519,141.85,142.033,105696,0,1,0,0,0,0,-2.0,3.0,4.0
28,2019.02.11,00:00,141.887,142.558,141.862,141.905,125591,1,0,0,0,0,0,1.0,1.0,5.0
29,2019.02.12,00:00,141.904,142.636,141.855,142.41,135060,1,0,0,0,0,0,0.0,4.0,5.0
30,2019.02.13,00:00,142.41,143.333,142.36,142.573,129853,1,0,0,0,0,0,,2.0,5.0
31,2019.02.14,00:00,142.576,143.032,141.293,141.374,149570,0,1,0,0,0,0,1.0,4.0,5.0
32,2019.02.15,00:00,141.376,142.403,141.008,142.331,143503,1,0,0,0,0,0,,5.0,4.0
33,2019.02.18,00:00,142.498,143.023,142.497,142.894,147697,1,0,0,0,0,0,0.0,4.0,5.0
34,2019.02.19,00:00,142.894,144.701,142.478,144.484,129235,1,0,0,0,0,0,-1.0,5.0,5.0
35,2019.02.20,00:00,144.484,145.044,144.123,144.642,136408,1,0,0,0,0,0,0.0,3.0,4.0
36,2019.02.21,00:00,144.642,144.927,144.081,144.303,143675,0,1,0,0,0,0,0.0,4.0,4.0
37,2019.02.22,00:00,144.305,144.747,143.784,144.472,124895,1,0,0,0,0,0,-1.0,4.0,3.0
38,2019.02.25,00:00,144.651,145.67,144.35,145.424,148103,1,0,0,0,0,0,1.0,5.0,4.0
39,2019.02.26,00:00,145.424,147.062,145.395,146.52,167443,1,0,0,0,0,0,1.0,4.0,5.0
40,2019.02.27,00:00,146.522,148.045,146.162,147.695,156804,1,0,0,0,0,0,,5.0,5.0
41,2019.02.28,00:00,147.695,148.266,146.982,147.713,147532,1,0,0,0,0,0,,3.0,3.0
42,2019.03.01,00:00,147.716,148.57,147.517,147.76,139079,1,0,0,0,0,0,,2.0,5.0
43,2019.03.04,00:00,148.141,148.309,147.104,147.199,146367,0,1,0,0,0,0,0.0,5.0,5.0
44,2019.03.05,00:00,147.199,147.787,146.602,147.442,146344,1,0,0,0,0,0,,4.0,3.0
45,2019.03.06,00:00,147.436,147.437,146.692,147.188,133599,0,1,0,0,0,0,,5.0,2.0
46,2019.03.07,00:00,147.188,147.283,145.786,145.932,142692,0,1,0,0,0,0,0.0,5.0,5.0
47,2019.03.08,00:00,145.933,146.183,144.315,144.689,156813,0,1,0,0,0,0,0.0,5.0,4.0
48,2019.03.11,00:00,143.933,146.5,143.723,146.24,149280,1,0,0,0,0,0,,5.0,5.0
49,2019.03.12,00:00,146.24,147.783,144.581,145.553,176476,0,1,0,0,0,0,1.0,3.0,4.0
50,2019.03.13,00:00,145.554,148.725,145.362,148.218,148218,1,0,0,0,0,0,-1.0,5.0,5.0
51,2019.03.14,00:00,148.239,148.872,147.386,147.88,164910,0,1,0,0,0,0,1.0,3.0,4.0
52,2019.03.15,00:00,147.852,148.378,147.424,148.158,139953,1,0,0,0,0,0,-1.0,4.0,3.0
53,2019.03.18,00:00,148.198,148.388,147.009,147.66,127467,0,1,0,0,0,0,,5.0,3.0
54,2019.03.19,00:00,147.66,148.053,147.52,147.774,105938,1,0,0,0,0,0,-1.0,3.0,4.0
55,2019.03.20,00:00,147.776,148.086,145.88,146.038,142096,0,1,0,0,0,0,2.0,5.0,5.0
56,2019.03.21,00:00,146.038,146.398,144.134,145.151,180135,0,1,0,0,0,0,2.0,5.0,3.0
57,2019.03.22,00:00,145.152,145.75,144.53,145.187,202082,1,0,0,0,0,0,1.0,3.0,3.0
58,2019.03.25,00:00,145.247,145.805,144.634,145.04,194153,0,1,0,0,0,0,,3.0,4.0
59,2019.03.26,00:00,145.038,146.462,144.778,146.064,194009,1,0,0,0,0,0,,4.0,5.0
60,2019.03.27,00:00,146.064,146.51,145.527,145.735,216632,0,1,0,0,0,0,1.0,3.0,4.0
61,2019.03.28,00:00,145.715,145.934,144.208,144.212,215984,0,1,0,0,0,0,,5.0,5.0
62,2019.03.29,00:00,144.157,145.485,143.821,144.405,194382,1,0,0,0,0,0,-1.0,2.0,4.0
63,2019.04.01,00:00,144.755,146.347,144.383,145.841,177900,1,0,0,0,0,0,,4.0,5.0
64,2019.04.02,00:00,145.841,146.444,144.935,146.125,183913,1,0,0,0,0,0,0.0,4.0,2.0
65,2019.04.03,00:00,146.125,147.193,146.01,146.668,178199,1,0,0,0,0,0,,3.0,5.0
66,2019.04.04,00:00,146.66,146.96,145.678,145.962,167246,0,1,0,0,0,0,,4.0,4.0
67,2019.04.05,00:00,145.962,146.547,145.104,145.605,150793,0,1,0,0,0,0,,3.0,4.0
68,2019.04.08,00:00,145.533,145.778,145.102,145.553,133893,1,0,0,0,0,0,-1.0,4.0,2.0
69,2019.04.09,00:00,145.554,146.052,144.784,144.965,139315,0,1,0,0,0,0,0.0,4.0,5.0
70,2019.04.10,00:00,144.957,145.711,144.859,145.26,139987,1,0,0,0,0,0,0.0,3.0,5.0
71,2019.04.11,00:00,145.26,145.953,145.055,145.726,135584,1,0,0,0,0,0,,4.0,4.0
72,2019.04.12,00:00,145.726,147.012,145.687,146.403,140272,1,0,0,0,0,0,0.0,3.0,5.0
73,2019.04.15,00:00,146.335,146.998,146.326,146.665,115921,1,0,0,0,0,0,-1.0,3.0,5.0
74,2019.04.16,00:00,146.665,146.756,146.012,146.118,146744,0,1,0,0,0,0,2.0,5.0,5.0
75,2019.04.17,00:00,146.082,146.303,145.837,146.023,135476,0,1,0,0,0,0,,3.0,4.0
76,2019.04.18,00:00,146.029,146.095,145.29,145.327,149055,0,1,0,0,0,0,1.0,5.0,5.0
77,2019.04.19,00:00,145.327,145.571,145.232,145.232,222886,0,1,0,0,0,0,3.0,2.0,5.0
78,2019.04.22,00:00,145.299,145.512,145.217,145.293,83358,0,1,0,0,0,0,-4.0,2.0,4.0
79,2019.04.23,00:00,145.294,145.629,144.584,144.712,140884,0,1,0,0,0,0,4.0,4.0,5.0
80,2019.04.24,00:00,144.71,145.021,144.403,144.739,161688,1,0,0,0,0,0,1.0,3.0,3.0
81,2019.04.25,00:00,144.724,144.879,143.782,144.011,156186,0,1,0,0,0,0,,5.0,4.0
82,2019.04.26,00:00,144.011,144.716,143.759,144.42,244872,1,0,0,0,0,0,3.0,4.0,4.0
83,2019.04.30,00:00,144.405,145.381,144.046,145.224,136970,1,0,0,0,0,0,-3.0,5.0,4.0
84,2019.05.01,00:00,145.224,145.699,145.18,145.342,109146,1,0,0,0,0,0,-2.0,2.0,5.0
85,2019.05.02,00:00,145.342,145.876,144.907,145.253,140106,0,1,0,0,0,0,2.0,3.0,4.0
