0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2019.01.02,00:00,139.598,139.908,139.574,139.698,26485,1,0,0,0,0,0
2,2019.01.02,04:00,139.699,139.699,139.205,139.442,20706,0,1,0,1,0,0
3,2019.01.02,08:00,139.442,139.487,138.145,138.252,42973,0,1,0,1,0,0
4,2019.01.02,12:00,138.253,138.411,137.444,137.694,43250,0,1,0,0,1,0
5,2019.01.02,16:00,137.689,138.044,137.509,137.77,47705,1,0,0,0,1,1
6,2019.01.02,20:00,137.769,137.877,137.26,137.26,33592,0,1,0,0,0,1
7,2019.01.03,00:00,137.241,137.283,131.66,134.921,40263,0,1,0,0,0,0
8,2019.01.03,04:00,134.92,134.932,133.88,134.2,27290,0,1,0,1,0,0
9,2019.01.03,08:00,134.195,135.675,134.04,135.442,52763,1,0,0,1,0,0
10,2019.01.03,12:00,135.439,135.797,134.981,135.654,48837,1,0,0,0,1,0
11,2019.01.03,16:00,135.651,136.786,134.945,136.573,73987,1,0,0,0,1,1
12,2019.01.03,20:00,136.575,136.58,135.696,135.941,38612,0,1,0,0,0,1
13,2019.01.04,00:00,135.942,136.451,135.806,136.316,38542,1,0,0,0,0,0
14,2019.01.04,04:00,136.317,137.069,136.239,136.776,29718,1,0,0,1,0,0
15,2019.01.04,08:00,136.775,136.917,136.315,136.897,36920,1,0,0,1,0,0
16,2019.01.04,12:00,136.895,137.155,136.751,136.925,37291,1,0,0,0,1,0
17,2019.01.04,16:00,136.922,138.15,136.641,138.013,61307,1,0,0,0,1,1
18,2019.01.04,20:00,138.015,138.303,137.976,138.098,28108,1,0,0,0,0,1
19,2019.01.07,00:00,137.954,138.332,137.875,138.086,31247,1,0,0,0,0,0
20,2019.01.07,04:00,138.087,138.104,137.717,137.934,22163,0,1,0,1,0,0
21,2019.01.07,08:00,137.937,138.107,137.613,137.952,27668,1,0,0,1,0,0
22,2019.01.07,12:00,137.953,138.381,137.792,138.318,25975,1,0,0,0,1,0
23,2019.01.07,16:00,138.318,138.77,138.163,138.728,40917,1,0,0,0,1,1
24,2019.01.07,20:00,138.727,138.938,138.529,138.903,20053,1,0,0,0,0,1
25,2019.01.08,00:00,138.905,139.016,138.537,138.58,19859,0,1,0,0,0,0
26,2019.01.08,04:00,138.579,139.088,138.554,138.842,22008,1,0,0,1,0,0
27,2019.01.08,08:00,138.843,139.437,138.783,138.995,31202,1,0,0,1,0,0
28,2019.01.08,12:00,138.993,138.993,138.478,138.651,32152,0,1,0,0,1,0
29,2019.01.08,16:00,138.652,138.8,137.975,138.157,39917,0,1,0,0,1,1
30,2019.01.08,20:00,138.156,138.39,138.04,138.228,18199,1,0,0,0,0,1
31,2019.01.09,00:00,138.215,138.637,138.182,138.57,21918,1,0,0,0,0,0
32,2019.01.09,04:00,138.572,138.86,138.565,138.696,19717,1,0,0,1,0,0
33,2019.01.09,08:00,138.696,139.105,138.555,138.891,28620,1,0,0,1,0,0
34,2019.01.09,12:00,138.893,138.935,138.452,138.5,30819,0,1,0,0,1,0
35,2019.01.09,16:00,138.5,138.738,137.76,138.383,54974,0,1,0,0,1,1
36,2019.01.09,20:00,138.381,138.6,138.175,138.317,33256,0,1,0,0,0,1
37,2019.01.10,00:00,138.322,138.529,137.87,138.043,24817,0,1,0,0,0,0
38,2019.01.10,04:00,138.048,138.101,137.885,137.987,15421,0,1,0,1,0,0
39,2019.01.10,08:00,137.989,138.068,137.594,137.969,27694,0,1,0,1,0,0
40,2019.01.10,12:00,137.968,138.129,137.449,138.083,29989,1,0,0,0,1,0
41,2019.01.10,16:00,138.082,138.369,137.702,138.212,38179,1,0,0,0,1,1
42,2019.01.10,20:00,138.212,138.35,138.0,138.203,21691,0,1,0,0,0,1
43,2019.01.11,00:00,138.204,138.319,138.073,138.27,19554,1,0,0,0,0,0
44,2019.01.11,04:00,138.27,138.317,138.103,138.204,13636,0,1,0,1,0,0
45,2019.01.11,08:00,138.205,138.363,137.637,138.157,23425,0,1,0,1,0,0
46,2019.01.11,12:00,138.157,139.155,138.103,138.758,35391,1,0,0,0,1,0
47,2019.01.11,16:00,138.758,139.475,138.569,139.402,43336,1,0,0,0,1,1
48,2019.01.11,20:00,139.404,139.576,139.089,139.12,27513,0,1,0,0,0,1
49,2019.01.14,04:00,139.121,139.195,138.802,138.922,15138,0,1,0,1,0,0
50,2019.01.14,08:00,138.923,139.08,138.605,138.792,28805,0,1,0,1,0,0
51,2019.01.14,12:00,138.792,139.23,138.658,138.977,37783,1,0,0,0,1,0
52,2019.01.14,16:00,138.977,140.054,138.835,139.44,37803,1,0,0,0,1,1
53,2019.01.14,20:00,139.441,139.535,139.093,139.15,14622,0,1,0,0,0,1
