0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance,nxt_move_1H
1,2020.01.02,00:00,144.056,144.078,143.777,143.949,7584,0,1,0,0,0,0,,5.0,3.0,0,0,11.7
2,2020.01.02,01:00,143.953,144.086,143.894,144.058,2817,1,0,0,0,0,0,-4.0,5.0,4.0,1,0,9.8
3,2020.01.02,02:00,144.058,144.184,144.01,144.111,3401,1,0,0,1,0,0,2.0,3.0,4.0,0,0,0.5
4,2020.01.02,03:00,144.113,144.189,144.009,144.053,5208,0,1,0,1,0,0,3.0,3.0,4.0,0,1,-9.2
5,2020.01.02,04:00,144.053,144.069,143.917,143.984,3436,0,1,0,1,0,0,-2.0,5.0,3.0,0,0,-40.9
6,2020.01.02,05:00,143.985,143.998,143.508,143.601,4385,0,1,0,1,0,0,2.0,5.0,5.0,0,0,2.8
7,2020.01.02,06:00,143.596,143.705,143.536,143.624,4130,1,0,0,1,0,0,,3.0,4.0,1,0,-1.0
8,2020.01.02,07:00,143.624,143.695,143.566,143.691,4930,1,0,0,1,0,0,1.0,5.0,3.0,0,0,9.6
9,2020.01.02,08:00,143.691,143.791,143.592,143.71,3792,1,0,0,1,0,0,-2.0,3.0,3.0,0,0,11.8
10,2020.01.02,09:00,143.721,143.909,143.698,143.813,7874,1,0,0,1,0,0,5.0,3.0,5.0,0,0,3.3
11,2020.01.02,10:00,143.814,143.942,143.734,143.831,9411,1,0,0,1,1,0,1.0,3.0,4.0,0,0,-2.5
12,2020.01.02,11:00,143.829,143.917,143.769,143.826,6833,0,1,0,0,1,0,-2.0,3.0,4.0,0,1,-4.9
13,2020.01.02,12:00,143.824,143.842,143.72,143.751,6927,0,1,0,0,1,0,0.0,5.0,4.0,0,0,-23.8
14,2020.01.02,13:00,143.749,143.755,143.482,143.579,7604,0,1,0,0,1,0,0.0,5.0,4.0,0,0,0.7
15,2020.01.02,14:00,143.575,143.751,143.489,143.571,7119,0,1,0,0,1,0,,2.0,4.0,0,0,-32.2
16,2020.01.02,15:00,143.569,143.569,143.167,143.221,8922,0,1,0,0,1,1,2.0,5.0,5.0,0,0,-43.4
17,2020.01.02,16:00,143.218,143.27,142.733,142.88,10489,0,1,0,0,1,1,1.0,5.0,4.0,0,0,-6.0
18,2020.01.02,17:00,142.879,142.994,142.673,142.805,12591,0,1,0,0,1,1,2.0,4.0,3.0,0,0,-40.5
19,2020.01.02,18:00,142.804,142.815,142.268,142.343,10284,0,1,0,0,1,1,-1.0,5.0,5.0,0,0,4.7
20,2020.01.02,19:00,142.343,142.55,142.315,142.547,8801,1,0,0,0,0,1,-1.0,5.0,5.0,1,0,9.7
21,2020.01.02,20:00,142.546,142.647,142.42,142.598,7587,1,0,0,0,0,1,-1.0,4.0,3.0,0,0,-1.9
22,2020.01.02,21:00,142.598,142.628,142.509,142.514,6249,0,1,0,0,0,1,-1.0,4.0,5.0,0,1,0.4
23,2020.01.02,22:00,142.513,142.658,142.513,142.63,4293,1,0,0,0,0,1,-2.0,5.0,5.0,1,0,0.1
24,2020.01.02,23:00,142.631,142.659,142.568,142.569,2706,0,1,0,0,0,0,-2.0,4.0,5.0,0,1,-8.2
25,2020.01.03,00:00,142.569,142.708,142.486,142.573,858,1,0,0,0,0,0,-4.0,2.0,4.0,1,0,7.5
26,2020.01.03,01:00,142.573,142.783,142.543,142.699,3215,1,0,0,0,0,0,5.0,4.0,5.0,0,0,-3.2
27,2020.01.03,02:00,142.698,142.751,142.592,142.612,4350,0,1,0,1,0,0,2.0,4.0,5.0,0,1,-49.7
28,2020.01.03,03:00,142.612,142.67,142.095,142.159,7821,0,1,0,1,0,0,4.0,5.0,5.0,0,0,-32.6
29,2020.01.03,04:00,142.157,142.23,141.769,141.859,12304,0,1,0,1,0,0,3.0,5.0,5.0,0,0,4.3
30,2020.01.03,05:00,141.858,142.112,141.812,142.111,8964,1,0,0,1,0,0,-2.0,5.0,5.0,1,0,5.8
31,2020.01.03,06:00,142.111,142.17,141.908,141.932,7203,0,1,0,1,0,0,-1.0,4.0,5.0,0,1,-12.8
32,2020.01.03,07:00,141.934,141.994,141.78,141.869,6852,0,1,0,1,0,0,,4.0,3.0,0,0,-13.0
33,2020.01.03,08:00,141.869,141.923,141.65,141.913,5110,1,0,0,1,0,0,-2.0,5.0,1.0,1,0,-1.2
34,2020.01.03,09:00,141.911,141.911,141.195,141.315,12262,0,1,0,1,0,0,5.0,5.0,5.0,0,1,5.3
35,2020.01.03,10:00,141.318,141.72,141.248,141.441,12837,1,0,0,1,1,0,0.0,3.0,5.0,1,0,-22.5
36,2020.01.03,11:00,141.44,141.495,141.2,141.225,13124,0,1,0,0,1,0,0.0,5.0,5.0,0,1,2.4
