0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length
1,2020.01.02,00:00,144.056,144.078,143.777,143.97,2885,0,1,0,0,0,0,,5.0,2.0
2,2020.01.02,00:30,143.966,144.004,143.945,143.949,4699,0,1,0,0,0,0,4.0,2.0,5.0
3,2020.01.02,01:00,143.953,144.086,143.894,144.058,1713,1,0,0,0,0,0,-4.0,5.0,4.0
4,2020.01.02,01:30,144.056,144.069,144.007,144.058,1104,1,0,0,0,0,0,-2.0,5.0,2.0
5,2020.01.02,02:00,144.058,144.116,144.01,144.022,1907,0,1,0,1,0,0,4.0,3.0,5.0
6,2020.01.02,02:30,144.025,144.184,144.025,144.111,1494,1,0,0,1,0,0,-2.0,3.0,5.0
7,2020.01.02,03:00,144.113,144.189,144.073,144.11,2721,0,1,0,1,0,0,5.0,2.0,4.0
8,2020.01.02,03:30,144.11,144.132,144.009,144.053,2487,0,1,0,1,0,0,,5.0,4.0
9,2020.01.02,04:00,144.053,144.069,143.917,143.945,2045,0,1,0,1,0,0,-1.0,5.0,5.0
10,2020.01.02,04:30,143.945,144.024,143.924,143.984,1391,1,0,0,1,0,0,-2.0,4.0,4.0
11,2020.01.02,05:00,143.985,143.998,143.653,143.704,2265,0,1,0,1,0,0,4.0,5.0,5.0
12,2020.01.02,05:30,143.709,143.721,143.508,143.601,2120,0,1,0,1,0,0,,5.0,3.0
13,2020.01.02,06:00,143.596,143.689,143.536,143.638,1950,1,0,0,1,0,0,,4.0,4.0
14,2020.01.02,06:30,143.637,143.705,143.564,143.624,2180,0,1,0,1,0,0,1.0,3.0,3.0
15,2020.01.02,07:00,143.624,143.661,143.566,143.617,3051,0,1,0,1,0,0,2.0,4.0,3.0
16,2020.01.02,07:30,143.617,143.695,143.592,143.691,1879,1,0,0,1,0,0,-2.0,5.0,4.0
17,2020.01.02,08:00,143.691,143.791,143.682,143.69,1885,0,1,0,1,0,0,0.0,1.0,5.0
18,2020.01.02,08:30,143.691,143.763,143.592,143.71,1907,1,0,0,1,0,0,0.0,4.0,3.0
19,2020.01.02,09:00,143.721,143.909,143.698,143.806,3586,1,0,0,1,0,0,5.0,3.0,5.0
20,2020.01.02,09:30,143.802,143.898,143.705,143.813,4288,1,0,0,1,0,0,1.0,3.0,3.0
21,2020.01.02,10:00,143.814,143.898,143.734,143.759,4753,0,1,0,1,1,0,1.0,3.0,5.0
22,2020.01.02,10:30,143.758,143.942,143.756,143.831,4658,1,0,0,1,1,0,,3.0,5.0
23,2020.01.02,11:00,143.829,143.917,143.79,143.858,3264,1,0,0,0,1,0,-2.0,3.0,4.0
24,2020.01.02,11:30,143.857,143.894,143.769,143.826,3569,0,1,0,0,1,0,0.0,4.0,3.0
25,2020.01.02,12:00,143.824,143.842,143.723,143.736,4057,0,1,0,0,1,0,1.0,5.0,5.0
26,2020.01.02,12:30,143.736,143.823,143.72,143.751,2870,1,0,0,0,1,0,-2.0,2.0,5.0
27,2020.01.02,13:00,143.749,143.755,143.504,143.551,3883,0,1,0,0,1,0,2.0,5.0,5.0
28,2020.01.02,13:30,143.55,143.606,143.482,143.579,3721,1,0,0,0,1,0,,4.0,3.0
29,2020.01.02,14:00,143.575,143.751,143.524,143.721,3847,1,0,0,0,1,0,0.0,5.0,4.0
30,2020.01.02,14:30,143.722,143.737,143.489,143.571,3272,0,1,0,0,1,0,-1.0,5.0,4.0
31,2020.01.02,15:00,143.569,143.569,143.283,143.312,4365,0,1,0,0,1,1,2.0,5.0,5.0
32,2020.01.02,15:30,143.31,143.32,143.167,143.221,4557,0,1,0,0,1,1,0.0,5.0,4.0
33,2020.01.02,16:00,143.218,143.27,142.997,143.003,4662,0,1,0,0,1,1,0.0,5.0,5.0
34,2020.01.02,16:30,143.002,143.008,142.733,142.88,5827,0,1,0,0,1,1,2.0,5.0,3.0
35,2020.01.02,17:00,142.879,142.994,142.673,142.774,5658,0,1,0,0,1,1,,4.0,4.0
36,2020.01.02,17:30,142.773,142.906,142.675,142.805,6933,1,0,0,0,1,1,2.0,3.0,3.0
37,2020.01.02,18:00,142.804,142.815,142.481,142.551,5340,0,1,0,0,1,1,-2.0,5.0,4.0
38,2020.01.02,18:30,142.551,142.553,142.268,142.343,4944,0,1,0,0,1,1,,5.0,4.0
39,2020.01.02,19:00,142.343,142.51,142.315,142.483,4678,1,0,0,0,0,1,,5.0,5.0
40,2020.01.02,19:30,142.487,142.55,142.427,142.547,4123,1,0,0,0,0,1,-1.0,5.0,3.0
41,2020.01.02,20:00,142.546,142.577,142.42,142.567,3757,1,0,0,0,0,1,,5.0,1.0
42,2020.01.02,20:30,142.568,142.647,142.559,142.598,3830,1,0,0,0,0,1,0.0,3.0,5.0
