0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
1,2021.01.04,00:00,140.685,141.315,139.69,139.868,210823,0,1,0,0,0,0,,4.0,5.0,0,0
2,2021.01.05,00:00,139.868,140.15,139.512,139.911,194833,1,0,0,0,0,0,,4.0,3.0,1,0
3,2021.01.06,00:00,139.908,140.576,139.74,140.195,243720,1,0,0,0,0,0,2.0,3.0,4.0,0,0
4,2021.01.07,00:00,140.195,140.997,140.105,140.733,211590,1,0,0,0,0,0,-1.0,4.0,5.0,0,0
5,2021.01.08,00:00,140.735,141.375,140.729,140.978,220660,1,0,0,0,0,0,0.0,2.0,5.0,0,0
6,2021.01.11,00:00,140.852,140.984,140.339,140.875,198777,1,0,0,0,0,0,,5.0,2.0,0,0
7,2021.01.12,00:00,140.927,142.029,140.701,141.755,194403,1,0,0,0,0,0,,4.0,5.0,0,0
8,2021.01.13,00:00,141.761,142.26,141.527,141.632,183209,0,1,0,0,0,0,,2.0,5.0,0,1
9,2021.01.14,00:00,141.652,142.238,141.612,142.077,198398,1,0,0,0,0,0,0.0,4.0,5.0,1,0
10,2021.01.15,00:00,142.063,142.118,140.967,141.144,181558,0,1,0,0,0,0,,5.0,5.0,0,1
11,2021.01.18,00:00,141.06,141.195,140.357,140.844,167887,0,1,0,0,0,0,,5.0,3.0,0,0
12,2021.01.19,00:00,140.845,141.735,140.742,141.549,181599,1,0,0,0,0,0,0.0,5.0,5.0,1,0
13,2021.01.20,00:00,141.601,142.335,141.078,141.261,184242,0,1,0,0,0,0,0.0,3.0,5.0,0,1
14,2021.01.21,00:00,141.365,142.217,141.331,142.036,181266,1,0,0,0,0,0,,4.0,5.0,1,0
15,2021.01.22,00:00,142.128,142.2,141.511,142.0,156681,0,1,0,0,0,0,-1.0,5.0,2.0,0,1
16,2021.01.25,00:00,141.825,142.325,141.654,141.888,170578,1,0,0,0,0,0,0.0,2.0,4.0,1,0
17,2021.01.26,00:00,141.879,142.454,141.279,142.314,171427,1,0,0,0,0,0,0.0,5.0,3.0,0,0
18,2021.01.27,00:00,142.286,142.863,142.2,142.413,189177,1,0,0,0,0,0,1.0,2.0,5.0,0,0
19,2021.01.28,00:00,142.415,143.269,142.19,142.971,209044,1,0,0,0,0,0,1.0,4.0,4.0,0,0
20,2021.01.29,00:00,142.971,143.957,142.926,143.447,225768,1,0,0,0,0,0,0.0,3.0,5.0,0,0
21,2021.02.01,00:00,143.573,144.102,143.324,143.336,179194,0,1,0,0,0,0,-2.0,2.0,5.0,0,1
22,2021.02.02,00:00,143.177,143.774,143.13,143.469,164064,1,0,0,0,0,0,,3.0,5.0,1,0
23,2021.02.03,00:00,143.471,143.689,143.113,143.284,152637,0,1,0,0,0,0,,4.0,4.0,0,1
24,2021.02.04,00:00,143.285,144.363,142.838,144.255,157221,1,0,0,0,0,0,0.0,5.0,4.0,1,0
25,2021.02.05,00:00,144.255,144.888,144.136,144.72,147772,1,0,0,0,0,0,,4.0,5.0,0,0
26,2021.02.08,00:00,144.426,144.931,144.407,144.483,147849,1,0,0,0,0,0,0.0,1.0,5.0,0,0
