0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2021.01.04,00:00,140.685,141.061,140.664,140.962,373,1,0,0,0,0,0
2,2021.01.04,00:30,140.962,140.986,140.862,140.94,364,0,1,0,0,0,0
3,2021.01.04,01:00,140.958,141.21,140.954,141.189,2933,1,0,0,0,0,0
4,2021.01.04,01:30,141.187,141.315,141.162,141.245,2652,1,0,0,0,0,0
5,2021.01.04,02:00,141.251,141.278,140.905,140.913,5532,0,1,0,1,0,0
6,2021.01.04,02:30,140.913,140.983,140.78,140.913,5762,0,0,1,1,0,0
7,2021.01.04,03:00,140.911,141.1,140.902,141.087,4945,1,0,0,1,0,0
8,2021.01.04,03:30,141.087,141.1,140.993,141.002,3811,0,1,0,1,0,0
9,2021.01.04,04:00,141.001,141.085,140.962,141.006,3751,1,0,0,1,0,0
10,2021.01.04,04:30,141.005,141.048,140.958,141.006,2913,1,0,0,1,0,0
11,2021.01.04,05:00,141.006,141.046,140.993,141.03,2007,1,0,0,1,0,0
12,2021.01.04,05:30,141.029,141.031,140.965,140.99,2081,0,1,0,1,0,0
13,2021.01.04,06:00,140.991,141.045,140.945,140.949,1712,0,1,0,1,0,0
14,2021.01.04,06:30,140.954,140.964,140.889,140.904,2209,0,1,0,1,0,0
15,2021.01.04,07:00,140.911,140.954,140.852,140.874,2601,0,1,0,1,0,0
16,2021.01.04,07:30,140.874,140.963,140.869,140.944,2714,1,0,0,1,0,0
17,2021.01.04,08:00,140.947,141.014,140.874,140.889,3212,0,1,0,1,0,0
18,2021.01.04,08:30,140.892,140.961,140.886,140.941,2566,1,0,0,1,0,0
19,2021.01.04,09:00,140.944,141.066,140.944,140.979,3721,1,0,0,1,0,0
20,2021.01.04,09:30,140.981,141.037,140.753,140.86,5393,0,1,0,1,0,0
21,2021.01.04,10:00,140.862,140.924,140.621,140.661,6765,0,1,0,1,1,0
22,2021.01.04,10:30,140.661,140.771,140.581,140.744,5639,1,0,0,1,1,0
23,2021.01.04,11:00,140.745,140.788,140.54,140.568,5206,0,1,0,0,1,0
24,2021.01.04,11:30,140.567,140.574,140.417,140.479,6115,0,1,0,0,1,0
25,2021.01.04,12:00,140.477,140.631,140.465,140.597,5086,1,0,0,0,1,0
26,2021.01.04,12:30,140.598,140.782,140.548,140.763,4370,1,0,0,0,1,0
27,2021.01.04,13:00,140.761,140.863,140.677,140.697,4865,0,1,0,0,1,0
28,2021.01.04,13:30,140.698,140.717,140.569,140.601,5122,0,1,0,0,1,0
29,2021.01.04,14:00,140.601,140.61,140.416,140.55,6303,0,1,0,0,1,0
30,2021.01.04,14:30,140.549,140.624,140.478,140.513,4827,0,1,0,0,1,0
31,2021.01.04,15:00,140.512,140.589,140.204,140.327,6612,0,1,0,0,1,1
32,2021.01.04,15:30,140.331,140.435,140.285,140.383,6335,1,0,0,0,1,1
33,2021.01.04,16:00,140.386,140.44,140.345,140.38,5973,0,1,0,0,1,1
34,2021.01.04,16:30,140.381,140.436,140.191,140.234,8137,0,1,0,0,1,1
35,2021.01.04,17:00,140.233,140.233,139.985,140.006,7919,0,1,0,0,1,1
36,2021.01.04,17:30,140.005,140.105,139.919,140.021,8207,1,0,0,0,1,1
37,2021.01.04,18:00,140.019,140.184,139.99,140.161,7477,1,0,0,0,1,1
38,2021.01.04,18:30,140.16,140.16,139.801,139.817,6300,0,1,0,0,1,1
39,2021.01.04,19:00,139.816,139.859,139.69,139.801,6199,0,1,0,0,0,1
40,2021.01.04,19:30,139.8,140.008,139.739,139.962,4721,1,0,0,0,0,1
41,2021.01.04,20:00,139.961,139.975,139.834,139.837,4295,0,1,0,0,0,1
42,2021.01.04,20:30,139.835,139.927,139.793,139.879,3527,1,0,0,0,0,1
43,2021.01.04,21:00,139.878,139.925,139.826,139.876,4046,0,1,0,0,0,1
44,2021.01.04,21:30,139.875,139.905,139.8,139.881,3532,1,0,0,0,0,1
45,2021.01.04,22:00,139.881,139.903,139.768,139.816,3458,0,1,0,0,0,1
46,2021.01.04,22:30,139.816,139.952,139.811,139.947,3767,1,0,0,0,0,1
47,2021.01.04,23:00,139.947,140.056,139.938,139.971,2502,1,0,0,0,0,0
48,2021.01.04,23:30,139.971,140.075,139.842,139.868,2266,0,1,0,0,0,0
49,2021.01.05,00:00,139.868,139.954,139.85,139.915,277,1,0,0,0,0,0
50,2021.01.05,00:30,139.915,139.977,139.915,139.97,375,1,0,0,0,0,0
51,2021.01.05,01:00,139.967,140.033,139.891,139.892,2145,0,1,0,0,0,0
52,2021.01.05,01:30,139.893,139.96,139.886,139.959,2016,1,0,0,0,0,0
53,2021.01.05,02:00,139.958,140.014,139.897,140.007,3111,1,0,0,1,0,0
54,2021.01.05,02:30,140.008,140.022,139.899,139.941,3224,0,1,0,1,0,0
