0,date,time,open,high,low,close,volume,state
1,2020.01.02,00:00,144.056,144.189,142.268,142.569,157373,-1
2,2020.01.03,00:00,142.569,142.783,141.002,141.358,197769,-1
3,2020.01.06,00:00,141.089,142.788,140.839,142.687,169338,1
4,2020.01.07,00:00,142.687,143.293,142.02,142.269,169485,-1
5,2020.01.08,00:00,142.268,143.106,141.121,142.784,243941,1
6,2020.01.09,00:00,142.802,143.455,142.425,143.1,165936,1
7,2020.01.10,00:00,143.093,143.498,142.89,143.021,140090,-1
8,2020.01.13,00:00,142.772,142.967,142.362,142.8,130219,1
9,2020.01.14,00:00,142.799,143.433,142.449,143.195,168783,1
10,2020.01.15,00:00,143.187,143.385,142.656,143.272,143696,1
11,2020.01.16,00:00,143.272,144.139,143.22,144.036,133893,1
12,2020.01.17,00:00,144.036,144.527,143.254,143.286,139609,-1
13,2020.01.20,00:00,143.002,143.366,142.803,143.322,89733,1
14,2020.01.21,00:00,143.322,143.974,142.862,143.347,139702,1
15,2020.01.22,00:00,143.347,144.609,143.264,144.283,145213,1
16,2020.01.23,00:00,144.307,144.412,143.21,143.714,147921,-1
17,2020.01.24,00:00,143.693,144.411,142.718,142.824,151666,-1
18,2020.01.27,00:00,142.456,142.747,142.054,142.161,179304,-1
19,2020.01.28,00:00,142.176,142.456,141.479,142.143,147001,-1
20,2020.01.29,00:00,142.144,142.341,141.709,141.893,127909,-1
21,2020.01.30,00:00,141.904,142.71,141.257,142.669,189195,1
22,2020.01.31,00:00,142.666,143.287,142.459,143.099,180926,1
23,2020.02.03,00:00,142.872,143.106,141.071,141.218,181412,-1
24,2020.02.04,00:00,141.219,142.841,140.925,142.712,163748,1
25,2020.02.05,00:00,142.712,143.377,142.227,142.76,164492,1
26,2020.02.06,00:00,142.77,142.822,142.091,142.198,135973,-1
27,2020.02.07,00:00,142.199,142.374,141.404,141.441,152606,-1
28,2020.02.10,00:00,141.339,142.092,141.237,141.746,141708,1
29,2020.02.11,00:00,141.746,142.462,141.695,142.187,128481,1
30,2020.02.12,00:00,142.189,142.886,142.161,142.656,124185,1
31,2020.02.13,00:00,142.645,143.477,142.144,143.17,162395,1
32,2020.02.14,00:00,143.166,143.405,142.764,143.224,125543,1
33,2020.02.17,00:00,143.13,143.368,142.846,142.862,92159,-1
34,2020.02.18,00:00,142.871,143.231,142.319,142.804,137806,-1
35,2020.02.19,00:00,142.804,144.167,142.774,143.878,141069,1
36,2020.02.20,00:00,143.867,144.606,143.599,144.417,178578,1
37,2020.02.21,00:00,144.417,144.96,143.723,144.545,172009,1
38,2020.02.24,00:00,144.036,144.623,142.631,143.128,198640,-1
39,2020.02.25,00:00,142.936,143.644,142.936,143.304,254468,1
40,2020.02.26,00:00,143.319,143.724,142.235,142.407,260002,-1
41,2020.02.27,00:00,142.379,142.55,141.177,141.207,307063,-1
42,2020.02.28,00:00,141.207,141.409,137.527,138.526,365899,-1
43,2020.03.02,00:00,137.121,139.186,137.084,137.984,333608,1
