0,date,time,open,high,low,close,volume,state
1,2020.01.02,00:00,144.056,144.189,143.777,144.053,19010,-1
2,2020.01.02,04:00,144.053,144.069,143.508,143.691,16881,-1
3,2020.01.02,08:00,143.691,143.942,143.592,143.826,27910,1
4,2020.01.02,12:00,143.824,143.842,143.167,143.221,30572,-1
5,2020.01.02,16:00,143.218,143.27,142.268,142.547,42165,-1
6,2020.01.02,20:00,142.546,142.659,142.42,142.569,20835,1
7,2020.01.03,00:00,142.569,142.783,142.095,142.159,16244,-1
8,2020.01.03,04:00,142.157,142.23,141.769,141.869,35323,-1
9,2020.01.03,08:00,141.869,141.923,141.195,141.225,43333,-1
10,2020.01.03,12:00,141.226,141.761,141.002,141.388,38825,1
11,2020.01.03,16:00,141.389,141.62,141.164,141.308,40206,-1
12,2020.01.03,20:00,141.311,141.398,141.017,141.358,23838,1
13,2020.01.06,00:00,141.089,141.49,140.839,141.186,26470,1
14,2020.01.06,04:00,141.186,141.452,141.177,141.354,16431,1
15,2020.01.06,08:00,141.352,141.969,141.119,141.948,41770,1
16,2020.01.06,12:00,141.949,142.389,141.922,142.07,34598,1
17,2020.01.06,16:00,142.066,142.757,141.979,142.579,34440,1
18,2020.01.06,20:00,142.581,142.788,142.558,142.687,15629,1
19,2020.01.07,00:00,142.687,142.901,142.558,142.824,17266,1
20,2020.01.07,04:00,142.822,142.942,142.626,142.644,16372,-1
21,2020.01.07,08:00,142.644,143.293,142.303,142.88,40162,1
22,2020.01.07,12:00,142.88,142.889,142.066,142.249,38064,-1
23,2020.01.07,16:00,142.25,142.635,142.02,142.492,37461,1
24,2020.01.07,20:00,142.492,142.573,142.116,142.269,20160,-1
25,2020.01.08,00:00,142.268,142.352,141.121,141.702,48044,-1
26,2020.01.08,04:00,141.702,142.501,141.686,142.068,38665,1
27,2020.01.08,08:00,142.071,142.839,142.068,142.281,44510,1
28,2020.01.08,12:00,142.273,142.673,141.973,142.595,45692,1
29,2020.01.08,16:00,142.598,143.067,142.186,142.972,44773,1
30,2020.01.08,20:00,142.971,143.106,142.783,142.784,22257,-1
31,2020.01.09,00:00,142.802,143.246,142.769,143.235,22395,1
32,2020.01.09,04:00,143.236,143.349,143.089,143.333,14845,1
33,2020.01.09,08:00,143.333,143.455,142.425,142.568,37956,-1
34,2020.01.09,12:00,142.568,143.032,142.43,142.837,40134,1
35,2020.01.09,16:00,142.837,143.109,142.726,143.039,32462,1
36,2020.01.09,20:00,143.039,143.123,142.887,143.1,18144,1
