0,date,time,open,high,low,close,volume,state
1,2020.01.02,00:00,144.056,144.078,143.793,144.035,1967,-1
2,2020.01.02,00:15,144.035,144.042,143.777,143.97,918,-1
3,2020.01.02,00:30,143.966,144.001,143.945,143.964,1792,-1
4,2020.01.02,00:45,143.968,144.004,143.947,143.949,2907,-1
5,2020.01.02,01:00,143.953,144.086,143.894,144.041,1406,1
6,2020.01.02,01:15,144.041,144.079,144.036,144.058,307,1
7,2020.01.02,01:30,144.056,144.069,144.007,144.012,372,-1
8,2020.01.02,01:45,144.012,144.068,144.011,144.058,732,1
9,2020.01.02,02:00,144.058,144.08,144.01,144.036,1105,-1
10,2020.01.02,02:15,144.036,144.116,144.013,144.022,802,-1
11,2020.01.02,02:30,144.025,144.096,144.025,144.092,636,1
12,2020.01.02,02:45,144.088,144.184,144.081,144.111,858,1
13,2020.01.02,03:00,144.113,144.189,144.104,144.144,1004,1
14,2020.01.02,03:15,144.138,144.143,144.073,144.11,1717,-1
15,2020.01.02,03:30,144.11,144.132,144.061,144.069,1243,-1
16,2020.01.02,03:45,144.069,144.076,143.996,143.998,2293,-1
17,2020.01.02,04:15,143.998,144.002,143.917,143.945,996,-1
18,2020.01.02,04:30,143.945,143.983,143.924,143.97,729,1
19,2020.01.02,04:45,143.971,144.024,143.969,143.984,662,1
20,2020.01.02,05:00,143.985,143.998,143.885,143.886,1293,-1
21,2020.01.02,05:15,143.886,143.886,143.653,143.704,972,-1
22,2020.01.02,05:30,143.709,143.721,143.615,143.65,1031,-1
23,2020.01.02,05:45,143.648,143.649,143.508,143.601,1089,-1
24,2020.01.02,06:00,143.596,143.626,143.536,143.626,859,1
25,2020.01.02,06:15,143.629,143.689,143.617,143.638,1091,1
26,2020.01.02,06:30,143.637,143.705,143.637,143.688,866,1
27,2020.01.02,06:45,143.686,143.694,143.564,143.624,1314,-1
28,2020.01.02,07:00,143.624,143.661,143.583,143.596,1553,-1
29,2020.01.02,07:15,143.596,143.66,143.566,143.617,1498,1
30,2020.01.02,07:30,143.617,143.679,143.592,143.67,1091,1
31,2020.01.02,07:45,143.67,143.791,143.637,143.777,1722,1
32,2020.01.02,08:15,143.776,143.782,143.682,143.69,951,-1
