0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
1,2019.01.03,00:00,1.26018,1.26474,1.24237,1.26239,157190,1,0,0,0,0,0,,5.0,2.0,0,0
2,2019.01.04,00:00,1.26239,1.27445,1.26158,1.27256,141599,1,0,0,0,0,0,,5.0,5.0,0,0
3,2019.01.07,00:00,1.27147,1.27868,1.27111,1.27798,104828,1,0,0,0,0,0,-2.0,5.0,5.0,0,0
4,2019.01.08,00:00,1.27798,1.27971,1.27068,1.27123,105633,0,1,0,0,0,0,0.0,5.0,5.0,0,1
5,2019.01.09,00:00,1.27129,1.28035,1.27092,1.27874,137580,1,0,0,0,0,0,2.0,5.0,5.0,1,0
6,2019.01.10,00:00,1.27875,1.28011,1.27277,1.27473,121537,0,1,0,0,0,0,-1.0,5.0,4.0,0,1
7,2019.01.11,00:00,1.27459,1.29307,1.27097,1.28656,242561,1,0,0,0,0,0,5.0,4.0,5.0,1,0
8,2019.01.15,00:00,1.28656,1.29158,1.26684,1.28571,150572,0,1,0,0,0,0,-2.0,4.0,2.0,0,1
9,2019.01.16,00:00,1.28573,1.28975,1.2825,1.28763,120022,1,0,0,0,0,0,-2.0,4.0,3.0,1,0
10,2019.01.17,00:00,1.28763,1.30009,1.28323,1.29842,129461,1,0,0,0,0,0,0.0,5.0,4.0,0,0
11,2019.01.18,00:00,1.29843,1.29932,1.28567,1.28695,107521,0,1,0,0,0,0,-1.0,5.0,5.0,0,1
12,2019.01.21,00:00,1.28731,1.29107,1.28306,1.28901,89008,1,0,0,0,0,0,-1.0,4.0,3.0,1,0
13,2019.01.22,00:00,1.28901,1.29751,1.28552,1.29567,109661,1,0,0,0,0,0,2.0,5.0,4.0,0,0
14,2019.01.23,00:00,1.29562,1.30809,1.29427,1.30669,116821,1,0,0,0,0,0,0.0,5.0,5.0,0,0
15,2019.01.24,00:00,1.30664,1.3094,1.30121,1.30638,131011,0,1,0,0,0,0,1.0,4.0,2.0,0,1
16,2019.01.25,00:00,1.30635,1.32179,1.30571,1.31981,139740,1,0,0,0,0,0,0.0,5.0,5.0,1,0
17,2019.01.28,00:00,1.31836,1.32117,1.3137,1.31522,104232,0,1,0,0,0,0,-2.0,4.0,4.0,0,1
18,2019.01.29,00:00,1.31521,1.31999,1.30558,1.30656,149267,0,1,0,0,0,0,3.0,4.0,5.0,0,0
19,2019.01.30,00:00,1.30657,1.31453,1.30545,1.31163,134088,1,0,0,0,0,0,-1.0,4.0,5.0,1,0
20,2019.01.31,00:00,1.31157,1.31602,1.30976,1.31056,119727,0,1,0,0,0,0,-1.0,2.0,5.0,0,1
21,2019.02.01,00:00,1.31048,1.31149,1.30433,1.30826,111304,0,1,0,0,0,0,,5.0,3.0,0,0
22,2019.02.04,00:00,1.30557,1.31032,1.30288,1.30337,96754,0,1,0,0,0,0,-1.0,2.0,5.0,0,0
23,2019.02.05,00:00,1.30336,1.30515,1.29249,1.29427,93328,0,1,0,0,0,0,,5.0,5.0,0,0
24,2019.02.06,00:00,1.29407,1.29791,1.29247,1.29292,99928,0,1,0,0,0,0,0.0,2.0,5.0,0,0
25,2019.02.07,00:00,1.29272,1.29965,1.28543,1.29478,108701,1,0,0,0,0,0,0.0,4.0,3.0,1,0
26,2019.02.08,00:00,1.29463,1.29763,1.29212,1.29387,87262,0,1,0,0,0,0,-1.0,3.0,4.0,0,1
27,2019.02.11,00:00,1.29248,1.2939,1.28449,1.28568,98650,0,1,0,0,0,0,1.0,5.0,5.0,0,0
28,2019.02.12,00:00,1.28567,1.29095,1.28325,1.28923,95176,1,0,0,0,0,0,,4.0,4.0,1,0
29,2019.02.13,00:00,1.28923,1.29588,1.28438,1.28441,109575,0,1,0,0,0,0,1.0,3.0,5.0,0,1
30,2019.02.14,00:00,1.28441,1.28983,1.2773,1.28879,215590,1,0,0,0,0,0,5.0,5.0,3.0,1,0
31,2019.02.18,00:00,1.29017,1.29385,1.28915,1.29179,97353,1,0,0,0,0,0,-3.0,3.0,4.0,0,0
32,2019.02.19,00:00,1.29178,1.30728,1.28957,1.30594,105369,1,0,0,0,0,0,0.0,5.0,5.0,0,0
33,2019.02.20,00:00,1.30594,1.31095,1.30119,1.30495,113588,0,1,0,0,0,0,0.0,3.0,4.0,0,1
34,2019.02.21,00:00,1.30485,1.30951,1.30261,1.30358,123516,0,1,0,0,0,0,0.0,2.0,5.0,0,0
35,2019.02.22,00:00,1.30358,1.30799,1.29682,1.30532,106395,1,0,0,0,0,0,-1.0,4.0,2.0,1,0
36,2019.02.25,00:00,1.30701,1.31142,1.30451,1.30961,110450,1,0,0,0,0,0,0.0,4.0,4.0,0,0
37,2019.02.26,00:00,1.30961,1.3288,1.30946,1.32504,146253,1,0,0,0,0,0,2.0,5.0,5.0,0,0
38,2019.02.27,00:00,1.32505,1.33503,1.32331,1.33059,141718,1,0,0,0,0,0,,4.0,5.0,0,0
39,2019.02.28,00:00,1.33059,1.33192,1.32534,1.32619,122869,0,1,0,0,0,0,-1.0,4.0,5.0,0,1
40,2019.03.01,00:00,1.32611,1.32864,1.3172,1.32009,119568,0,1,0,0,0,0,,4.0,4.0,0,0
41,2019.03.04,00:00,1.32433,1.32543,1.31665,1.31723,116734,0,1,0,0,0,0,,5.0,5.0,0,0
42,2019.03.05,00:00,1.31725,1.31985,1.30977,1.31777,123564,1,0,0,0,0,0,0.0,4.0,2.0,1,0
43,2019.03.06,00:00,1.31767,1.31813,1.3124,1.31685,113106,0,1,0,0,0,0,,5.0,2.0,0,1
44,2019.03.07,00:00,1.31688,1.31849,1.30683,1.30828,123152,0,1,0,0,0,0,0.0,5.0,5.0,0,0
45,2019.03.08,00:00,1.30828,1.31082,1.299,1.30157,129287,0,1,0,0,0,0,0.0,4.0,4.0,0,0
46,2019.03.11,00:00,1.29659,1.31704,1.29603,1.31505,133145,1,0,0,0,0,0,0.0,5.0,5.0,1,0
47,2019.03.12,00:00,1.31505,1.32879,1.30049,1.30717,163188,0,1,0,0,0,0,2.0,3.0,4.0,0,1
48,2019.03.13,00:00,1.30729,1.33812,1.30597,1.3336,130980,1,0,0,0,0,0,-1.0,5.0,5.0,1,0
49,2019.03.14,00:00,1.33361,1.33377,1.32076,1.32401,144100,0,1,0,0,0,0,1.0,5.0,4.0,0,1
50,2019.03.15,00:00,1.32406,1.32999,1.32028,1.32896,120969,1,0,0,0,0,0,-1.0,5.0,4.0,1,0
51,2019.03.18,00:00,1.32952,1.33002,1.3184,1.32531,109306,0,1,0,0,0,0,,5.0,3.0,0,1
52,2019.03.19,00:00,1.32518,1.3311,1.32408,1.32662,112387,1,0,0,0,0,0,0.0,2.0,5.0,1,0
53,2019.03.20,00:00,1.32672,1.32725,1.31463,1.31891,142519,0,1,0,0,0,0,2.0,5.0,4.0,0,1
54,2019.03.21,00:00,1.31885,1.32271,1.30041,1.3104,153650,0,1,0,0,0,0,0.0,5.0,3.0,0,0
