0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
1,2019.01.02,00:30,1.27449,1.27466,1.27295,1.27343,749,0,1,0,0,0,0,,5.0,4.0,0,0
2,2019.01.02,01:00,1.27304,1.27539,1.27303,1.27481,1641,1,0,0,0,0,0,5.0,4.0,5.0,1,0
3,2019.01.02,01:30,1.27482,1.27535,1.2747,1.2753,638,1,0,0,0,0,0,-4.0,5.0,5.0,0,0
4,2019.01.02,02:00,1.2753,1.2753,1.27456,1.27472,1857,0,1,0,1,0,0,5.0,5.0,4.0,0,1
5,2019.01.02,02:30,1.27472,1.2749,1.2745,1.27488,1562,1,0,0,1,0,0,-1.0,5.0,3.0,1,0
6,2019.01.02,03:00,1.27489,1.27489,1.27423,1.27445,1301,0,1,0,1,0,0,-1.0,5.0,4.0,0,1
7,2019.01.02,03:30,1.27446,1.27479,1.27412,1.2745,1676,1,0,0,1,0,0,2.0,3.0,3.0,1,0
8,2019.01.02,04:00,1.27449,1.2745,1.27353,1.27357,1908,0,1,0,1,0,0,1.0,5.0,5.0,0,1
9,2019.01.02,04:30,1.27357,1.27388,1.27229,1.2728,2049,0,1,0,1,0,0,0.0,5.0,4.0,0,0
10,2019.01.02,05:00,1.27279,1.27307,1.27269,1.273,992,1,0,0,1,0,0,-3.0,5.0,4.0,1,0
11,2019.01.02,05:30,1.27301,1.27304,1.27259,1.27301,956,0,0,1,1,0,0,,5.0,5.0,0,0
12,2019.01.02,06:00,1.273,1.27324,1.27286,1.27322,1454,1,0,0,1,0,0,3.0,5.0,4.0,0,0
13,2019.01.02,06:30,1.27321,1.27352,1.27302,1.27339,1324,1,0,0,1,0,0,,4.0,4.0,0,0
14,2019.01.02,07:00,1.27338,1.27433,1.27325,1.27426,2019,1,0,0,1,0,0,3.0,5.0,5.0,0,0
15,2019.01.02,07:30,1.27425,1.27573,1.27406,1.2756,2435,1,0,0,1,0,0,2.0,5.0,5.0,0,0
16,2019.01.02,08:00,1.27559,1.27728,1.27556,1.27658,2572,1,0,0,1,0,0,0.0,3.0,5.0,0,0
17,2019.01.02,08:30,1.27666,1.27678,1.27518,1.27547,2013,0,1,0,1,0,0,-2.0,5.0,5.0,0,1
18,2019.01.02,09:00,1.27547,1.27631,1.27501,1.2753,2356,0,1,0,1,0,0,1.0,2.0,4.0,0,0
19,2019.01.02,09:30,1.27531,1.27565,1.27473,1.27504,2556,0,1,0,1,0,0,0.0,4.0,4.0,0,0
20,2019.01.02,10:00,1.27505,1.27604,1.27222,1.27227,5225,0,1,0,1,1,0,5.0,4.0,5.0,0,0
21,2019.01.02,10:30,1.27227,1.27227,1.26953,1.27112,5503,0,1,0,1,1,0,0.0,5.0,3.0,0,0
22,2019.01.02,11:00,1.27112,1.27192,1.26897,1.26912,4382,0,1,0,0,1,0,-2.0,4.0,5.0,0,0
23,2019.01.02,11:30,1.26919,1.27168,1.26875,1.26888,4625,0,1,0,0,1,0,0.0,1.0,5.0,0,0
24,2019.01.02,12:00,1.26887,1.27025,1.26838,1.26885,3685,0,1,0,0,1,0,-2.0,2.0,4.0,0,0
25,2019.01.02,12:30,1.26883,1.26926,1.26709,1.2673,2992,0,1,0,0,1,0,-1.0,5.0,5.0,0,0
26,2019.01.02,13:00,1.26727,1.26741,1.26597,1.2668,3579,0,1,0,0,1,0,1.0,5.0,3.0,0,0
27,2019.01.02,13:30,1.2668,1.26739,1.26601,1.26642,3649,0,1,0,0,1,0,0.0,3.0,4.0,0,0
28,2019.01.02,14:00,1.26639,1.26656,1.26453,1.26473,3969,0,1,0,0,1,0,0.0,5.0,5.0,0,0
29,2019.01.02,14:30,1.26471,1.26542,1.26446,1.26512,3534,1,0,0,0,1,0,-1.0,4.0,4.0,1,0
30,2019.01.02,15:00,1.26513,1.26551,1.2626,1.26286,5601,0,1,0,0,1,1,3.0,5.0,5.0,0,1
31,2019.01.02,15:30,1.26286,1.26324,1.26027,1.26089,5604,0,1,0,0,1,1,0.0,5.0,4.0,0,0
32,2019.01.02,16:00,1.26083,1.26182,1.25967,1.26008,4885,0,1,0,0,1,1,-1.0,3.0,5.0,0,0
33,2019.01.02,16:30,1.26008,1.26111,1.25977,1.26066,5112,1,0,0,0,1,1,0.0,4.0,4.0,1,0
34,2019.01.02,17:00,1.26066,1.26258,1.2604,1.26127,6293,1,0,0,0,1,1,2.0,2.0,5.0,0,0
35,2019.01.02,17:30,1.26127,1.26172,1.25956,1.26011,6439,0,1,0,0,1,1,0.0,4.0,4.0,0,1
36,2019.01.02,18:00,1.26014,1.26145,1.25811,1.2588,5658,0,1,0,0,1,1,-1.0,4.0,4.0,0,0
37,2019.01.02,18:30,1.25879,1.26008,1.25837,1.2597,4895,1,0,0,0,1,1,-1.0,4.0,4.0,1,0
