0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2020.01.02,00:00,1.32463,1.32661,1.32458,1.32559,9921,1,0,0,0,0,0
2,2020.01.02,04:00,1.32557,1.32562,1.32022,1.32138,13566,0,1,0,1,0,0
3,2020.01.02,08:00,1.32139,1.32306,1.32064,1.32144,20924,1,0,0,1,0,0
4,2020.01.02,12:00,1.32143,1.32149,1.31714,1.31762,23464,0,1,0,0,1,0
5,2020.01.02,16:00,1.31759,1.31945,1.31152,1.31344,29954,0,1,0,0,1,1
6,2020.01.02,20:00,1.31343,1.31456,1.31251,1.31332,17254,0,1,0,0,0,1
7,2020.01.03,00:00,1.31295,1.31601,1.31295,1.3138,10400,1,0,0,0,0,0
8,2020.01.03,04:00,1.31379,1.31437,1.31157,1.31211,18876,0,1,0,1,0,0
9,2020.01.03,08:00,1.31209,1.31238,1.30668,1.30683,27311,0,1,0,1,0,0
10,2020.01.03,12:00,1.30682,1.31095,1.30535,1.30723,24529,1,0,0,0,1,0
11,2020.01.03,16:00,1.30724,1.3099,1.30674,1.30882,24971,1,0,0,0,1,1
12,2020.01.03,20:00,1.30881,1.30901,1.30709,1.30772,16335,0,1,0,0,0,1
13,2020.01.06,00:00,1.30798,1.30878,1.30647,1.30789,10147,0,1,0,0,0,0
14,2020.01.06,04:00,1.30789,1.30904,1.30789,1.30807,5896,1,0,0,1,0,0
15,2020.01.06,08:00,1.30807,1.31485,1.30641,1.31451,27823,1,0,0,1,0,0
16,2020.01.06,12:00,1.31451,1.31745,1.31346,1.31402,25686,0,1,0,0,1,0
17,2020.01.06,16:00,1.31403,1.31747,1.31332,1.31595,20260,1,0,0,0,1,1
18,2020.01.06,20:00,1.31599,1.31685,1.31554,1.31658,10802,1,0,0,0,0,1
19,2020.01.07,00:00,1.31666,1.31787,1.31666,1.31717,8353,1,0,0,0,0,0
20,2020.01.07,04:00,1.31717,1.31754,1.31532,1.31546,8407,0,1,0,1,0,0
21,2020.01.07,08:00,1.31547,1.32123,1.31412,1.31727,25890,1,0,0,1,0,0
22,2020.01.07,12:00,1.31727,1.31736,1.31024,1.31179,28682,0,1,0,0,1,0
23,2020.01.07,16:00,1.3118,1.31395,1.30951,1.31274,23595,1,0,0,0,1,1
24,2020.01.07,20:00,1.31274,1.31373,1.31136,1.31186,14275,0,1,0,0,0,1
25,2020.01.08,00:00,1.31195,1.31259,1.31043,1.31168,13940,0,1,0,0,0,0
26,2020.01.08,04:00,1.31173,1.314,1.31161,1.31175,13086,1,0,0,1,0,0
27,2020.01.08,08:00,1.31174,1.31695,1.31103,1.31199,26644,1,0,0,1,0,0
28,2020.01.08,12:00,1.31193,1.31361,1.30801,1.31217,30391,1,0,0,0,1,0
29,2020.01.08,16:00,1.31218,1.31389,1.30829,1.31051,27906,0,1,0,0,1,1
30,2020.01.08,20:00,1.31051,1.31064,1.30917,1.30917,13503,0,1,0,0,0,1
31,2020.01.09,00:00,1.30923,1.31141,1.30916,1.3112,7543,1,0,0,0,0,0
32,2020.01.09,04:00,1.3112,1.3119,1.3104,1.31165,6201,1,0,0,1,0,0
33,2020.01.09,08:00,1.31164,1.31236,1.30173,1.30272,26645,0,1,0,1,0,0
34,2020.01.09,12:00,1.30271,1.30691,1.30128,1.30524,32325,1,0,0,0,1,0
35,2020.01.09,16:00,1.30524,1.30692,1.30333,1.30612,22474,1,0,0,0,1,1
36,2020.01.09,20:00,1.30613,1.30679,1.3054,1.30659,12555,1,0,0,0,0,1
37,2020.01.10,00:00,1.30659,1.30723,1.30598,1.30633,6681,0,1,0,0,0,0
38,2020.01.10,04:00,1.30635,1.30836,1.30603,1.30824,6757,1,0,0,1,0,0
39,2020.01.10,08:00,1.30824,1.30915,1.30482,1.30688,20327,0,1,0,1,0,0
40,2020.01.10,12:00,1.30688,1.30971,1.30504,1.30694,24811,1,0,0,0,1,0
41,2020.01.10,16:00,1.30693,1.30779,1.30424,1.30616,25184,0,1,0,0,1,1
42,2020.01.10,20:00,1.30618,1.30642,1.30535,1.30544,11296,0,1,0,0,0,1
43,2020.01.13,00:00,1.30347,1.3045,1.30321,1.3039,5597,1,0,0,0,0,0
44,2020.01.13,04:00,1.30392,1.30414,1.30253,1.30326,6245,0,1,0,1,0,0
45,2020.01.13,08:00,1.30328,1.30328,1.29651,1.29727,24088,0,1,0,1,0,0
46,2020.01.13,12:00,1.29724,1.29943,1.29611,1.29842,23849,1,0,0,0,1,0
47,2020.01.13,16:00,1.29845,1.29989,1.29755,1.29953,21704,1,0,0,0,1,1
48,2020.01.13,20:00,1.29952,1.30035,1.29863,1.29882,10848,0,1,0,0,0,1
49,2020.01.14,00:00,1.29881,1.30006,1.29846,1.29916,10922,1,0,0,0,0,0
50,2020.01.14,04:00,1.29915,1.30024,1.29884,1.2989,22244,0,1,0,1,0,0
51,2020.01.14,08:00,1.29888,1.2994,1.29543,1.29723,21213,0,1,0,1,0,0
52,2020.01.14,12:00,1.29723,1.30141,1.29672,1.29904,25379,1,0,0,0,1,0
53,2020.01.14,16:00,1.29904,1.3025,1.29873,1.30215,28251,1,0,0,0,1,1
54,2020.01.14,20:00,1.30215,1.30332,1.30164,1.30188,12900,0,1,0,0,0,1
55,2020.01.15,00:00,1.30181,1.30245,1.30141,1.30234,6063,1,0,0,0,0,0
56,2020.01.15,04:00,1.30237,1.30333,1.30188,1.30326,7185,1,0,0,1,0,0
57,2020.01.15,08:00,1.30325,1.30424,1.29849,1.29918,20622,0,1,0,1,0,0
58,2020.01.15,12:00,1.29911,1.30292,1.2988,1.30084,24012,1,0,0,0,1,0
59,2020.01.15,16:00,1.30084,1.3038,1.30075,1.3033,25943,1,0,0,0,1,1
60,2020.01.15,20:00,1.3033,1.30393,1.30228,1.30372,12546,1,0,0,0,0,1
61,2020.01.16,00:00,1.30377,1.30568,1.30371,1.3044,8408,1,0,0,0,0,0
62,2020.01.16,04:00,1.30443,1.30521,1.304,1.30481,5686,1,0,0,1,0,0
63,2020.01.16,08:00,1.30482,1.3065,1.30255,1.30539,20795,1,0,0,1,0,0
64,2020.01.16,12:00,1.30541,1.30747,1.30491,1.30495,20601,0,1,0,0,1,0
65,2020.01.16,16:00,1.30494,1.30832,1.30317,1.30742,29109,1,0,0,0,1,1
66,2020.01.16,20:00,1.30741,1.30791,1.30623,1.30788,10557,1,0,0,0,0,1
67,2020.01.17,00:00,1.30785,1.30809,1.30641,1.30685,8141,0,1,0,0,0,0
68,2020.01.17,04:00,1.30684,1.30803,1.30679,1.30746,6805,1,0,0,1,0,0
69,2020.01.17,08:00,1.30746,1.31187,1.30402,1.30547,23153,0,1,0,1,0,0
70,2020.01.17,12:00,1.30551,1.30668,1.30266,1.30454,25658,0,1,0,0,1,0
71,2020.01.17,16:00,1.30454,1.30489,1.30163,1.30237,21994,0,1,0,0,1,1
72,2020.01.17,20:00,1.30236,1.30246,1.3005,1.30052,9806,0,1,0,0,0,1
73,2020.01.20,00:00,1.29901,1.30089,1.29897,1.30014,6828,1,0,0,0,0,0
74,2020.01.20,04:00,1.30013,1.30062,1.29933,1.29939,4579,0,1,0,1,0,0
75,2020.01.20,08:00,1.2994,1.30013,1.2962,1.29842,16597,0,1,0,1,0,0
76,2020.01.20,12:00,1.29843,1.30082,1.29767,1.30012,15246,1,0,0,0,1,0
77,2020.01.20,16:00,1.30014,1.30026,1.29828,1.29995,11110,0,1,0,0,1,1
78,2020.01.20,20:00,1.29995,1.30136,1.29969,1.30086,10315,1,0,0,0,0,1
79,2020.01.21,00:00,1.30086,1.30102,1.29955,1.30006,4386,0,1,0,0,0,0
80,2020.01.21,04:00,1.30004,1.30215,1.29985,1.30124,6391,1,0,0,1,0,0
81,2020.01.21,08:00,1.30124,1.30451,1.29956,1.30399,17270,1,0,0,1,0,0
82,2020.01.21,12:00,1.30399,1.30835,1.30349,1.30733,21389,1,0,0,0,1,0
83,2020.01.21,16:00,1.30733,1.30737,1.30394,1.30456,19988,0,1,0,0,1,1
84,2020.01.21,20:00,1.30455,1.30608,1.30386,1.3049,12162,1,0,0,0,0,1
85,2020.01.22,00:00,1.3049,1.30536,1.30388,1.3048,4407,0,1,0,0,0,0
86,2020.01.22,04:00,1.3048,1.30613,1.30346,1.30576,6260,1,0,0,1,0,0
87,2020.01.22,08:00,1.30574,1.30675,1.30375,1.30614,15637,1,0,0,1,0,0
88,2020.01.22,12:00,1.30613,1.31353,1.30556,1.31307,27978,1,0,0,0,1,0
89,2020.01.22,16:00,1.31308,1.31528,1.31206,1.31284,27501,0,1,0,0,1,1
