0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2021.01.04,00:00,1.36417,1.37037,1.35415,1.357,148265,0,1,0,0,0,0
2,2021.01.05,00:00,1.357,1.36421,1.35542,1.36254,141821,1,0,0,0,0,0
3,2021.01.06,00:00,1.3625,1.3671,1.35381,1.36073,175422,0,1,0,0,0,0
4,2021.01.07,00:00,1.36073,1.36329,1.35326,1.35567,140221,0,1,0,0,0,0
5,2021.01.08,00:00,1.35625,1.36356,1.35383,1.35615,150941,0,1,0,0,0,0
6,2021.01.11,00:00,1.35578,1.35681,1.34504,1.35151,135168,0,1,0,0,0,0
7,2021.01.12,00:00,1.35151,1.36699,1.35023,1.36575,123219,1,0,0,0,0,0
8,2021.01.13,00:00,1.36652,1.37013,1.36114,1.36353,126388,0,1,0,0,0,0
9,2021.01.14,00:00,1.36367,1.37104,1.36162,1.36857,138134,1,0,0,0,0,0
10,2021.01.15,00:00,1.36857,1.36978,1.35722,1.35875,128730,0,1,0,0,0,0
11,2021.01.18,00:00,1.35898,1.35985,1.35196,1.35846,106290,0,1,0,0,0,0
12,2021.01.19,00:00,1.35846,1.36364,1.35739,1.36276,114957,1,0,0,0,0,0
13,2021.01.20,00:00,1.36204,1.37189,1.36204,1.36537,121040,1,0,0,0,0,0
14,2021.01.21,00:00,1.36537,1.37459,1.36499,1.37316,121653,1,0,0,0,0,0
15,2021.01.22,00:00,1.37316,1.3736,1.36359,1.3684,108966,0,1,0,0,0,0
16,2021.01.25,00:00,1.36781,1.37234,1.36488,1.36725,120206,0,1,0,0,0,0
17,2021.01.26,00:00,1.36748,1.37441,1.36094,1.37324,110268,1,0,0,0,0,0
18,2021.01.27,00:00,1.37305,1.37586,1.3659,1.3683,138999,0,1,0,0,0,0
19,2021.01.28,00:00,1.36833,1.37456,1.36299,1.37169,151169,1,0,0,0,0,0
20,2021.01.29,00:00,1.372,1.37514,1.3657,1.36978,156645,0,1,0,0,0,0
21,2021.02.01,00:00,1.37038,1.37577,1.36563,1.36587,136133,0,1,0,0,0,0
22,2021.02.02,00:00,1.36557,1.37103,1.36112,1.36671,122155,1,0,0,0,0,0
23,2021.02.03,00:00,1.36673,1.36833,1.36193,1.36425,109832,0,1,0,0,0,0
24,2021.02.04,00:00,1.36395,1.36979,1.35655,1.36699,119509,1,0,0,0,0,0
25,2021.02.05,00:00,1.36699,1.374,1.36579,1.37342,104009,1,0,0,0,0,0
26,2021.02.08,00:00,1.37116,1.37495,1.36803,1.37316,101426,1,0,0,0,0,0
27,2021.02.09,00:00,1.37368,1.38204,1.37325,1.38141,102877,1,0,0,0,0,0
28,2021.02.10,00:00,1.38141,1.3866,1.38024,1.38318,100606,1,0,0,0,0,0
29,2021.02.11,00:00,1.38318,1.38591,1.38006,1.38156,90360,0,1,0,0,0,0
30,2021.02.12,00:00,1.38156,1.38624,1.37756,1.38524,92982,1,0,0,0,0,0
31,2021.02.15,00:00,1.38465,1.39188,1.38465,1.39018,81843,1,0,0,0,0,0
32,2021.02.16,00:00,1.39042,1.39512,1.38691,1.38973,115766,0,1,0,0,0,0
